ID,Card Name,Short Name,Card Set,Color,Type,Subtype,Group,Occuran.,Mana Costs,Pow,Tuff
0296,Banshee,Banshee,Dark,Black,Summon,Banshee,None,Uncommon,000202,0,1
0297,Barl's Cage,Barl's Cage,Dark,Brown,Artifact,Poly,None,Rare,000004,na,na
0298,Dark Heart of the Wood,Wood's Dark Heart,Dark,Gold,Enchant,na,None,Common,010100,na,na
0299,Blood Moon,Blood Moon,Dark,Red,Enchant,na,None,Rare,001002,na,na
0300,Apprentice Wizard,Apprentice Wizard,Dark,Blue,Summon,Wizard,None,Rare,000021,0,1
0301,Blood of the Martyr,Blood of the Martyr,Dark,White,Instant,na,None,Uncommon,300000,na,na
0302,Bone Flute,Bone Flute,Dark,Brown,Artifact,Mono,None,Uncommon,000003,na,na
0303,Brainwash,Brainwash,Dark,White,Enchant,Creature,None,Common,100000,na,na
0304,Brothers of Fire,Brothers of Fire,Dark,Red,Summon,Brothers,None,Uncommon,002001,2,2
0305,Carnivorous Plant,Carnivorous Plant,Dark,Green,Summon,Wall,None,Common,010003,4,5
0306,Cave People,Cave People,Dark,Red,Summon,Cave People,None,Uncommon,002001,1,4
0307,City of Shadows,City of Shadows,Dark,Grey,Land,na,None,Rare,000000,na,na
0308,Coal Man,Coal Man,Dark,Brown,Artifact,Creature,None,Uncommon,000005,3,3
0309,Dance of Many,Dance of Many,Dark,Blue,Enchant,na,None,Rare,000020,na,na
0310,Deep Water,Deep Water,Dark,Blue,Enchant,na,None,Common,000020,na,na
0311,Dust to Dust,Dust to Dust,Dark,White,Sorcery,na,None,Common,200001,na,na
0312,Eater of the Dead,Eater of the Dead,Dark,Black,Summon ,Eater,None,Uncommon,000104,3,4
0313,Elves of Deep Shadow,Deep Shadow Elves,Dark,Green,Summon,Elves,None,Uncommon,010000,1,1
0314,Erosion,Erosion,Dark,Blue,Enchant,Land,None,Common,000030,na,na
0315,Eternal Flame,Eternal Flame,Dark,Red,Sorcery,na,None,Rare,002002,na,na
0316,Exorcist,Exorcist,Dark,White,Summon,Exorcist,None,Rare,200000,1,1
0317,Fasting,Fasting,Dark,White,Enchant,na,None,Uncommon,100000,na,na
0318,Fellwar Stone,Fellwar Stone,Dark,Brown,Artifact,Mono,None,Uncommon,000002,na,na
0319,Fire and Brimstone,Fire and Brimstone,Dark,White,Instant,na,None,Uncommon,200003,na,na
0320,Fire Drake,Fire Drake,Dark,Red,Summon,Drake,None,Uncommon,002001,1,2
0321,Fissure,Fissure,Dark,Red,Instant,na,None,Common,002003,na,na
0322,Scarwood Hag,Scarwood Hag,Dark,Green,Summon,Hag,None,Uncommon,010001,1,1
0323,People of the Woods,People of the Wood,Dark,Green,Summon,People,None,Uncommon,020000,1,x
0324,Fountain of Youth,Fountain of Youth,Dark,Brown,Artifact,Mono,None,Uncommon,000000,na,na
0325,Frankenstein's Monster,Frankenstein,Dark,Black,Summon,Monster,None,Rare,00020x,0,1
0326,Ghost Ship,Ghost Ship,Dark,Blue,Summon,Ship,None,Common,000022,2,4
0327,Giant Shark,Giant Shark,Dark,Blue,Summon,Shark,None,Common,000015,4,4
0328,Spitting Slug,Spitting Slug,Dark,Green,Summon,Slug,None,Uncommon,020001,2,4
0329,Goblin Caves,Goblin Caves,Dark,Red,Enchant,Land,None,Common,002001,na,na
0330,Goblin Hero,Goblin Hero,Dark,Red,Summon,Goblin,None,Common,001002,2,2
0331,Goblin Wizard,Goblin Wizard,Dark,Red,Summon,Goblin,None,Rare,002002,1,1
0332,Goblins of the Flarg,Goblins of the Flarg,Dark,Red,Summon,Goblins,None,Common,001000,1,1
0333,Grave Robbers,Grave Robbers,Dark,Black,Summon,Robbers,None,Rare,000201,1,1
0334,Gaea's Touch,Gaea's Touch,Dark,Green,Enchant,na,None,Common,020000,na,na
0335,Hidden Path,Hidden Path,Dark,Green,Enchant,na,None,Rare,040002,na,na
0336,Bog Imp,Bog Imp,Dark,Black,Summon,Imp,None,Common,000101,1,1
0337,Inferno,Inferno,Dark,Red,Instant,na,None,Rare,002005,na,na
0338,Knights of Thorn,Knights of Thorn,Dark,White,Summon,Knights,None,Rare,100003,2,2
0339,Land Leeches,Land Leeches,Dark,Green,Summon,Leeches,None,Common,020001,2,2
0340,Leviathan,Leviathan,Dark,Blue,Summon,Leviathan,None,Rare,000045,10,10
0341,Living Armor,Living Armor,Dark,Brown,Artifact,Mono,None,Uncommon,000004,na,na
0342,Lurker,Lurker,Dark,Green,Summon,Lurker,None,Rare,010002,2,3
0343,Mana Clash,Mana Clash,Dark,Red,Sorcery,na,None,Rare,001000,na,na
0344,Mana Vortex,Mana Vortex,Dark,Blue,Enchant,na,None,Rare,000021,na,na
0345,Martyr's Cry,Martyr's Cry,Dark,White,Sorcery,na,None,Rare,200000,na,na
0346,Mind Bomb,Mind Bomb,Dark,Blue,Sorcery,na,None,Rare,000010,na,na
0347,Morale,Morale,Dark,White,Instant,na,None,Common,200001,na,na
0348,Necropolis,Necropolis,Dark,Brown,Artifact,Wall,None,Uncommon,000005,0,1
0349,Orc General,Orc General,Dark,Red,Summon,na,None,Uncommon,001002,2,2
0350,Bog Rats,Bog Rats,Dark,Black,Summon,Rats,None,Common,000100,1,1
0351,Preacher,Preacher,Dark,White,Summon,Preacher,None,Rare,200001,1,1
0352,Psychic Allergy,Psychic Allergy,Dark,Blue,Enchant,na,None,Rare,000023,na,na
0353,Book of Rass,Book of Rass,Dark,Brown,Artifact,Poly,None,Uncommon,000006,na,na
0354,Reflecting Mirror,Reflecting Mirror,Dark,Brown,Artifact,Mono,None,Uncommon,000004,na,na
0355,Riptide,Riptide,Dark,Blue,Instant,na,None,Common,000010,na,na
0356,Runesword,Runesword,Dark,Brown,Artifact,Mono,None,Uncommon,000006,na,na
0357,Safe Haven,Safe Haven,Dark,Grey,Land,na,None,Rare,000000,na,na
0358,ScareCrow,ScareCrow,Dark,Brown,Artifact,Creature,None,Uncommon,000005,2,2
0359,Season of the Witch,Season of the Witch,Dark,Black,Enchant,na,None,Rare,000300,na,na
0360,Sisters of the Flame,Sisters of the Flame,Dark,Red,Summon,Sisters,None,Uncommon,002001,2,2
0361,Skull of Orm,Skull of Orm,Dark,Brown,Artifact,Mono,None,Uncommon,000003,na,na
0362,Standing Stones,Standing Stones,Dark,Brown,Artifact,Mono,None,Uncommon,000003,na,na
0363,Stone Calender,Stone Calender,Dark,Brown,Artifact,Continuous,None,Rare,000005,na,na
0364,Sunken City,Sunken City,Dark,Blue,Enchant,na,None,Common,000020,na,na
0365,Marsh Gas,Marsh Gas,Dark,Black,Instant,na,None,Common,000100,na,na
0366,Marsh Goblins,Marsh Goblins,Dark,Gold,Summon,Goblins,None,Common,001100,1,1
0367,Cleansing,Cleansing,Dark,White,Sorcery,na,None,Rare,300000,na,na
0368,Tormod's Crypt,Tormod's Crypt,Dark,Brown,Artifact,Mono,None,Uncommon,000000,na,na
0369,Dark Sphere,Dark Sphere,Dark,Brown,Artifact,Mono,None,Uncommon,000000,na,na
0370,The Drowned,The Drowned,Dark,Blue,Summon,Zombies,None,Common,000011,1,1
0371,Murk Dwellers,Murk Dwellers,Dark,Black,Summon ,Dwellers,None,Common,000103,2,2
0372,The Fallen,The Fallen,Dark,Black,Summon,Fallen,None,Uncommon,000301,2,3
0373,Niall Silvain,Niall Silvain,Dark,Green,Summon,Niall Silvain,None,Rare,030000,2,2
0374,Inquisition,Inquisition,Dark,Black,Sorcery,na,None,Common,000102,na,na
0375,Holy Light,Holy Light,Dark ,White,Instant,na,None,Common,100002,na,na
0376,Diabolic Machine,Diabolic Machine,Dark,Brown,Artifact,Creature,None,Uncommon,000007,4,4
0377,Maze of Ith,Maze of Ith,Dark,Grey,Land,na,None,Uncommon,000000,na,na
0378,Nameless Race,Nameless Race,Dark,Black,Summon,Nameless,None,Rare,000103,x,x
0379,Tower of Coireall,Tower of Coireall,Dark,Brown,Artifact,Mono,None,Uncommon,000002,na,na
0380,Tracker,Tracker,Dark,Green,Summon,Tracker,None,Rare,010002,2,2
0381,Sorrow's Path,Sorrow's Path,Dark,Grey,Land,na,None,Rare,000000,na,na
0382,Uncle Istvan,Uncle Istvan,Dark,Black,Summon,Istvan,None,Uncommon,000301,1,3
0383,Venom,Venom,Dark,Green,Enchant,Creature,None,Common,020001,na,na
0384,Wand of Ith,Wand of Ith,Dark,Brown,Artifact,Mono,None,Uncommon,000004,na,na
0385,War Barge,War Barge,Dark,Brown,Artifact,Poly,None,Uncommon,000004,na,na
0386,Whippoorwill,Whippoorwill,Dark,Green,Summon,Whippoorwill,None,Uncommon,010000,1,1
0387,Witch Hunter,Witch Hunter,Dark,White,Summon,Hunter,None,Rare,200002,1,1
0388,Word of Binding,Word of Binding,Dark,Black,Sorcery,na,None,Common,00020x,na,na
0389,WormWood Treefolk,WormWood Treefolk,Dark,Green,Summon,Treefolk,None,Rare,020003,4,4
0390,Worms of the Earth,Worms of the Earth,Dark,Black,Enchant,na,None,Rare,000302,na,na
0391,Abu Jafar,Abu Jafar,Arabian,White,Summon,Abu Jafar,None,Uncommon,100000,0,1
0392,Aladdin,Aladdin,Arabian,Red,Summon,Aladdin,None,Uncommon,002002,1,1
0393,Aladdin's Lamp,Aladdin's Lamp,Arabian ,Brown,Artifact,Mono,None,Uncommon,00000A,na,na
0394,Ali Baba,Ali Baba,Arabian,Red,Summon,Ali Baba,None,Uncommon,001000,1,1
0395,Ali from Cairo,Ali from Cairo,Arabian,Red,Summon,Ali,None,Uncommon,002002,0,1
0396,Aladdin's Ring,Aladdin's Ring,Arabian,Brown,Artifact,Mono,None,Uncommon,000008,na,na
0397,Army of Allah,Army of Allah,Arabian,White,Instant,na,None,Common,200001,na,na
0398,Bazaar of Baghdad,Bazaar of Baghdad,Arabian,Grey,Land,na,None,Uncommon,000000,na,na
0399,Bird Maiden,Bird Maiden,Arabian,Red,Summon,Bird Maid,None,Common,001002,1,2
0400,Bottle of Suleiman,Bottle of Suleiman,Arabian,Brown,Artifact,Mono,None,Uncommon,000004,na,na
0401,Camel,Camel,Arabian,White,Summon,Camel,None,Common,100000,0,1
0402,City in a Bottle,City in a Bottle,Arabian,Brown,Artifact,Continuous,None,Uncommon,000002,na,na
0403,City of Brass,City of Brass,Arabian,Grey,Land,na,None,Uncommon,000000,na,na
0404,Cuombajj Witches,Cuombajj Witches,Arabian,Black,Summon,Witches,None,Common,000200,1,3
0405,Cyclone,Cyclone,Arabian,Green,Enchant,na,None,Uncommon,020002,na,na
0406,Dandan,Dandan,Arabian,Blue,Summon,Dandan,None,Common,000020,4,1
0407,Desert,Desert,Arabian,Grey,Land,na,None,Common,000000,na,na
0408,Desert Nomads,Desert Nomads,Arabian,Red,Summon,Nomads,None,Common,001002,2,2
0409,Desert Twister,Desert Twister,Arabian,Green,Sorcery,na,None,Uncommon,020004,na,na
0410,Diamond Valley,Diamond Valley,Arabian,Grey,Land,na,None,Uncommon,000000,na,na
0411,Drop of Honey,Drop of Honey,Arabian,Green,Enchant,na,None,Uncommon,010000,na,na
0412,Ebony Horse,Ebony Horse,Arabian,Brown,Artifact,Mono,None,Uncommon,000003,na,na
0413,El-hajjaj,El-hajjaj,Arabian,Black,Summon,El-hajjaj,None,Uncommon,000201,1,1
0414,Elephant Graveyard,Elephant Graveyard,Arabian,Grey,Land,na,None,Uncommon,000000,na,na
0415,Erg Raiders,Erg Raiders,Arabian,Black,Summon,Raiders,None,Common,000101,2,3
0416,Erhnam Djinn,Erhnam Djinn,Arabian,Green,Summon,Djinn,None,Uncommon,010003,4,5
0417,Eye for an Eye,Eye for an Eye,Arabian,White,Instant,na,Redirect,Uncommon,200000,na,na
0418,Fishliver Oil,Fishliver Oil,Arabian,Blue,Enchant,Creature,None,Common,000011,na,na
0419,Flying Carpet,Flying Carpet,Arabian,Brown,Artifact,Mono,None,Uncommon,000004,na,na
0420,Flying Men,Flying Men,Arabian,Blue,Summon,Flying Men,None,Common,000010,1,1
0421,Ghazban Ogre,Ghazban Ogre,Arabian,Green,Summon,Ogre,None,Common,010000,2,2
0422,Giant Tortoise ,Giant Tortoise ,Arabian,Blue,Summon,Tortoise,None,Common,000011,1,1
0423,Guardian Beast,Guardian Beast,Arabian,Black,Summon,Guardian,None,Uncommon,000100,2,4
0424,Hasran Ogress ,Hasran Ogress ,Arabian,Black,Summon,Ogre,None,Common,000200,3,2
0425,Hurr Jackal,Hurr Jackal,Arabian,Red,Summon,Jackal,None,Common,001000,1,1
0426,Ifh-Biff Efreet,Ifh-Biff Efreet,Arabian,Green,Summon,Efreet,None,Uncommon,020002,3,3
0427,Island Fish Jasconius,Island Fish,Arabian,Blue,Summon,Island Fish,None,Uncommon,000034,6,8
0428,Island of Wak-Wak,Island of Wak-Wak,Arabian,Grey,Land,na,None,Uncommon,000000,na,na
0429,Jandor's Ring,Jandor's Ring,Arabian,Brown,Artifact,Mono,None,Uncommon,000006,na,na
0430,Jandor's Saddlebags,Jandor's Saddlebags,Arabian,Brown,Artifact,Mono,None,Uncommon,000002,na,na
0431,Jeweled Bird,Jeweled Bird,Arabian,Brown,Artifact,Mono,None,Uncommon,000001,na,na
0432,Jihad,Jihad,Arabian,White,Enchant,na,None,Uncommon,300000,na,na
0433,Junun Efreet,Junun Efreet,Arabian,Black,Summon,Efreet,None,Uncommon,000201,3,3
0434,Juzam Djinn,Juzam Djinn,Arabian,Black,Summon,Djinn,None,Uncommon,000202,5,5
0435,Khabal Ghoul,Khabal Ghoul,Arabian,Black,Summon,Ghoul,None,Uncommon,000102,1,1
0436,King Suleiman,King Suleiman,Arabian,White,Summon,King,None,Uncommon,100001,1,1
0437,Kird Ape,Kird Ape,Arabian,Red,Summon,Ape,None,Common,001000,1,1
0438,Library of Alexandria,Alexandrian Library,Arabian,Grey,Land,na,None,Uncommon,000000,na,na
0439,Magnetic Mountain,Magnetic Mountain,Arabian,Red,Enchant,na,None,Uncommon,002001,na,na
0440,Merchant Ship,Merchant Ship,Arabian,Blue,Summon,Ship,None,Uncommon,000010,0,2
0441,Metamorphosis,Metamorphosis,Arabian,Green,Sorcery,na,None,Common,010000,na,na
0442,Mijae Djinn,Mijae Djinn,Arabian,Red,Summon,Djinn,None,Uncommon,003000,6,3
0443,Moorish Cavalry,Moorish Cavalry,Arabian,White,Summon,Cavalry,None,Common,200002,3,3
0444,Naf's Asp,Naf's Asp,Arabian,Green,Summon,Asp,None,Common,010000,1,1
0445,Oasis,Oasis,Arabian,Grey,Land,na,Prevent,Uncommon,000000,na,na
0446,Old Man of the Sea,Old Man of the Sea,Arabian,Blue,Summon,Marid,None,Uncommon,000021,2,3
0447,Oubliette,Oubliette,Arabian,Black,Enchant,na,None,Common,000201,na,na
0448,Piety,Piety,Arabian,White,Instant,na,None,Common,100002,na,na
0449,Pyramids,Pyramids,Arabian,Brown,Artifact,Poly,None,Uncommon,000006,na,na
0450,Repentant Blacksmith,Blacksmith,Arabian,White,Summon,Smith,None,Uncommon,100001,1,2
0451,Ring of Maruf,Ring of Maruf,Arabian,Brown,Artifact,Mono,None,Uncommon,000005,na,na
0452,Rukh Egg,Rukh Egg,Arabian,Red,Summon,Egg,None,Common,001003,0,3
0453,Sandals of Abdallah,Sandals of Abdallah,Arabian,Brown,Artifact,Mono,None,Uncommon,000004,na,na
0454,Sandstorm,Sandstorm,Arabian,Green,Instant,na,None,Common,010000,na,na
0455,Serendib Djinn,Serendib Djinn,Arabian,Blue,Summon,Djinn,None,Uncommon,000022,5,6
0456,Serendib Efreet,Serendib Efreet,Arabian,Blue ,Summon,Efreet,None,Uncommon,000012,3,4
0457,Shahrazad,Shahrazad,Arabian,White,Sorcery,na,None,Uncommon,200000,na,na
0458,Sindbad,Sindbad,Arabian,Blue,Summon,Sindbad,None,Uncommon,000011,1,1
0459,Singing Tree,Singing Tree,Arabian,Green,Summon,Singing Tree,None,Uncommon,010003,0,3
0460,Sorceress Queen,Sorceress Queen,Arabian,Black,Summon,Sorceress,None,Uncommon,000200,1,1
0461,Stone Throwing Devils,Stone Devils,Arabian,Black,Summon,Devils,None,Common,000100,1,1
0462,Unstable Mutation,Unstable Mutation,Arabian,Blue,Enchant,Creature,None,Common,000010,na,na
0463,War Elephant,War Elephant,Arabian,White,Summon,Elephant,None,Common,100003,2,2
0464,Wyluli Wolf,Wyluli Wolf,Arabian,Green,Summon,Wolves,None,Common,010001,1,1
0465,Ydwen Efreet,Ydwen Efreet,Arabian,Red,Summon,Efreet,None,Uncommon,003000,3,6
0466,Amulet of Kroog,Amulet of Kroog,Antiquities,Brown,Artifact,Mono,Prevent,Common,000002,na,na
0467,Argivian Archaeoligist,Archaeoligist,Antiquities,White,Summon,Archaeoligist,None,Rare,200001,1,1
0468,Argivian Blacksmith,Argivian Blacksmith,Antiquities,White,Summon ,Smith,None,Common,200001,2,2
0469,Argothian Pixies,Argothian Pixies,Antiquities,Green,Summon,Pixies,None,Common,010001,2,1
0470,Argothian Treefolk,Argothian Treefolk,Antiquities,Green,Summon,Treefolk,None,Common,020003,3,5
0471,Armageddon Clock,Armageddon Clock,Antiquities,Brown,Artifact,Continuous,None,Rare,000006,na,na
0472,Artifact Blast,Artifact Blast,Antiquities,Red,Interrupt,na,None,Common,001000,na,na
0473,Artifact Ward,Artifact Ward,Antiquities,White,Enchant,Creature,None,Common,100000,na,na
0474,Ashnod's Alter,Ashnod's Alter,Antiquities,Brown,Artifact,Poly,None,Uncommon,000003,na,na
0475,Ashnod's Battlegear,Ashnod's Battlegear,Antiquities,Brown,Artifact,Mono,None,Uncommon,000002,na,na
0476,Ashnod's Transmogrant,Transmogrant,Antiquities,Brown,Artifact,Mono,None,Uncommon,000001,na,na
0477,Atog,Atog,Antiquities,Red,Summon,Atog,None,Common,001001,1,2
0478,Battering Ram,Battering Ram,Antiquities,Brown,Artifact,Creature,None,Common,000002,1,1
0479,Bronze Tablet,Bronze Tablet,Antiquities,Brown,Artifact,Mono,None,Rare,000006,na,na
0480,Candelabra of Tawnos,Tawnos' Candelabra ,Antiquities,Brown,Artifact,Mono,None,Rare,000001,na,na
0481,Circle of Protection from Artifacts,Artifact Circle,Antiquities,White,Enchant,na,Prevent,Uncommon,100001,na,na
0482,Citanul Druid,Citanul Druid,Antiquities,Green,Summon,Druid,None,Uncommon,010001,1,1
0483,Clay Statue,Clay Statue,Antiquities,Brown,Artifact,Creature,None,Common,000004,3,1
0484,Clockwork Avian,Clockwork Avian,Antiquities,Brown,Artifact,Creature,None,Rare,000005,0,4
0485,Colossus of Sardia,Colossus of Sardia,Antiquities,Brown,Artifact,Creature,None,Rare,000009,9,9
0486,Coral Helm,Coral Helm,Antiquities,Brown,Artifact,Poly,None,Rare,000003,na,na
0487,Crumble,Crumble,Antiquities,Green,Instant,na,None,Common,010000,na,na
0488,Cursed Rack,Cursed Rack,Antiquities,Brown,Artifact,Continuous,None,Uncommon,000004,na,na
0489,Damping Field,Damping Field,Antiquities,White,Enchant,na,None,Uncommon,100002,na,na
0490,Detonate,Detonate,Antiquities,Red,Sorcery,na,None,Uncommon,00100x,na,na
0491,Drafna's Restoration,Drafnas Restoration,Antiquities,Blue,Sorcery,na,None,Common,000010,na,na
0492,Dragon Engine,Dragon Engine,Antiquities,Brown,Artifact,Creature,None,Common,000003,1,3
0493,Dwarven Weaponsmith,Dwarven Smith,Antiquities,Red,Summon,Dwarves,None,Uncommon,001001,1,1
0494,Energy Flux,Energy Flux,Antiquities,Blue,Enchant,na,None,Uncommon,000012,na,na
0495,Feldon's Cane,Feldon's Cane,Antiquities,Brown,Artifact,Mono,None,Uncommon,000001,na,na
0496,Gaea's Avenger,Gaea's Avenger,Antiquities,Green,Summon,Avenger,None,Rare,020001,1,1
0497,Gate to Phyrexia,Gate to Phyrexia,Antiquities,Black,Enchant,na,None,Uncommon,000200,na,na
0498,Goblin Artisans,Goblin Artisans,Antiquities,Red,Summon,Goblins,None,Uncommon,001000,1,1
0499,Golgothian Sylex,Golgothian Sylex,Antiquities,Brown,Artifact,Mono,None,Rare,000004,na,na
0500,Grapeshot Catapult,Grapeshot Catapult,Antiquities,Brown,Artifact,Creature,None,Common,000004,2,3
0501,Haunting Wind,Haunting Wind,Antiquities,Black,Enchant,na,None,Uncommon,000103,na,na
0502,Hurkyl's Recall,Hurkyl's Recall,Antiquities,Blue,Instant,na,None,Uncommon,000011,na,na
0503,Ivory Tower,Ivory Tower,Antiquities,Brown,Artifact,Continuous,None,Uncommon,000001,na,na
0504,Jalum Tome,Jalum Tome,Antiquities,Brown,Artifact,Mono,None,Rare,000003,na,na
0505,Martyrs of Korlis,Martyrs of Korlis,Antiquities,White,Summon,Bodyguard,None,Uncommon,200003,1,6
0506,Mightstone,Mightstone,Antiquities,Brown,Artifact,Continuous,None,Uncommon,000004,na,na
0507,Millstone,Millstone,Antiquities,Brown,Artifact,Mono,None,Uncommon,000002,na,na
0508,Mishra's Factory,Mishra's Factory,Antiquities,Grey,Land,na,None,Uncommon,000000,na,na
0509,Mishra's War Machine,War Machine,Antiquities,Brown,Artifact,Creature,None,Rare,000007,5,5
0510,Mishra's Workshop,Mishra's Workshop,Antiquities,Grey,Land,na,None,Uncommon,000000,na,na
0511,Obelisk of Undoing,Obelisk of Undoing,Antiquities,Brown,Artifact,Mono,None,Rare,000001,na,na
0512,Onulet,Onulet,Antiquities,Brown,Artifact,Creature,None,Uncommon,000003,2,2
0513,Orcish Mechanics,Orcish Mechanics,Antiquities,Red,Summon,Orcs,None,Common,001002,1,1
0514,Ornithopter,Ornithopter,Antiquities,Brown,Artifact,Creature,None,Common,000000,0,2
0515,Phyrexian Gremlins,Phyrexian Gremlins,Antiquities,Black,Summon,Gremlins,None,Common,000102,1,1
0516,Artifact Possession,Artifact Possession,Antiquities,Black,Enchant,Artifact,None,Common,000102,na,na
0517,Power Artifact,Power Artifact,Antiquities,Blue,Enchant,Artifact,None,Uncommon,000020,na,na
0518,Powerleech,Powerleech,Antiquities,Green,Enchant,na,None,Uncommon,020000,na,na
0519,Primal Clay,Primal Clay,Antiquities,Brown,Artifact,Creature,None,Uncommon,000004,0,0
0520,Rakalite,Rakalite,Antiquities,Brown,Artifact,Poly,None,Uncommon,000006,na,na
0521,Reconstruction,Reconstruction,Antiquities,Blue,Sorcery,na,None,Common,000010,na,na
0522,Reverse Polarity,Reverse Polarity,Antiquities,White,Instant,na,Prevent,Common,200000,na,na
0523,Rocket Launcher,Rocket Launcher,Antiquities,Brown,Artifact,Poly,None,Uncommon,000004,na,na
0524,Sage of Lat-Nam,Sage of Lat-Nam,Antiquities,Blue,Summon,Sage,None,Common,000011,1,2
0525,Shapeshifter,Shapeshifter,Antiquities,Brown,Artifact,Creature,None,Rare,000006,0,0
0526,Shatterstorm,Shatterstorm,Antiquities,Red,Sorcery,na,None,Rare,002002,na,na
0527,Staff of Zegon,Staff of Zegon,Antiquities,Brown,Artifact,Mono,None,Common,000004,na,na
0528,Strip Mine,Strip Mine,Antiquities,Grey,Land,na,None,Uncommon,000000,na,na
0529,Su-Chi,Su-Chi,Antiquities,Brown,Artifact,Creature,None,Uncommon,000004,4,4
0530,Tablets of Epityr,Tablets of Epityr,Antiquities,Brown,Artifact,Poly,None,Common,000001,na,na
0531,Tawnos' Coffin,Tawnos' Coffin,Antiquities,Brown,Artifact,Mono,None,Rare,000004,na,na
0532,Tawnos' Wand,Tawnos' Wand,Antiquities,Brown,Artifact,Mono,None,Uncommon,000004,na,na
0533,Tawnos' Weaponry,Tawnos' Weaponry,Antiquities,Brown,Artifact,Mono,None,Uncommon,000002,na,na
0534,Tetravus,Tetravus,Antiquities,Brown,Artifact,Creature,None,Rare,000006,1,1
0535,The Rack,The Rack,Antiquities,Brown,Artifact,Continuous,None,Uncommon,000001,na,na
0536,Titania's Song,Titania's Song,Antiquities,Green,Enchant,na,None,Uncommon,010003,na,na
0537,Transmute Artifact,Transmute Artifact,Antiquities,Blue,Sorcery,na,None,Uncommon,000020,na,na
0538,Triskelion,Triskelion,Antiquities,Brown,Artifact,Creature,None,Rare,000006,1,1
0539,Urza's Avenger,Urza's Avenger,Antiquities,Brown,Artifact,Creature,None,Rare,000006,4,4
0540,Urza's Chalice,Urza's Chalice,Antiquities,Brown,Artifact,Poly,None,Common,000001,na,na
0541,Urza's Mine,Urza's Mine,Antiquities,Grey,Land,na,None,Uncommon,000000,na,na
0542,Urza's Miter,Urza's Miter,Antiquities,Brown,Artifact,Poly,None,Rare,000003,na,na
0543,Urza's Powerplant,Urza's Powerplant,Antiquities,Grey,Land,na,None,Uncommon,000000,na,na
0544,Urza's Tower,Urza's Tower,Antiquities,Grey,Land,na,None,Uncommon,000000,na,na
0545,Wall of Spears,Wall of Spears,Antiquities,Brown,Artifact,Wall,None,Uncommon,000003,2,3
0546,Weakstone,Weakstone,Antiquities,Brown,Artifact,Continuous,None,Uncommon,000004,na,na
0547,Xenic Poltergeist,Xenic Poltergeist,Antiquities,Black,Summon,Poltergeist,None,Uncommon,000201,1,1
0548,Yawgmoth Demon,Yawgmoth Demon,Antiquities,Black,Summon,Demon,None,Rare,000204,6,6
0549,Priest of Yawgmoth,Priest of Yawgmoth,Antiquities,Black,Summon,Priest,None,Common,000101,1,2
0550,Yotian Soldiers,Yotian Soldiers,Antiquities,Brown,Artifact,Creature,None,Common,000003,1,4
0551,Abomination,Abomination,Legends,Black,Summon,Abomination,None,Rare,000203,2,6
0552,Acid Rain,Acid Rain,Legends,Blue,Sorcery,na,None,Rare,000013,na,na
0553,Active Volcano,Active Volcano,Legends,Red,Instant,na,None,Common,001000,na,na
0554,Adun Oakenshield,Adun Oakenshield,Legends,Gold,Summon,Legend,None,Rare,011100,1,2
0555,Adventurer's Guildhouse,Adventurer's Guild,Legends,Grey,Land,na,None,Uncommon,000000,na,na
0556,Aerathi Berserker,Aerathi Berserker,Legends,Red,Summon,Berserker,None,Rare,003002,2,4
0557,Aisling Leprechaun,Aisling Leprechaun,Legends,Green,Summon,Faerie,None,Common,010000,1,1
0558,Akron Legionnaire,Akron Legionnaire,Legends,White,Summon,Legionnaire,None,Rare,200006,8,4
0559,Al-abara's Carpet,Al-abara's Carpet,Legends,Brown,Artifact,Mono,None,Rare,000005,na,na
0560,Alabaster Potion,Alabaster Potion,Legends,White,Instant,na,None,Uncommon,20000x,na,na
0561,Alchor's Tomb,Alchor's Tomb,Legends,Brown,Artifact,Mono,None,Rare,000004,na,na
0562,All Hallows Eve,All Hallows Eve,Legends,Black,Enchant,na,None,Rare,000202,na,na
0563,Amrou Kithkin,Amrou Kithkin,Legends,White,Summon,Kithkin,None,Common,200000,1,1
0564,Angelic Voices,Angelic Voices,Legends,White,Enchant,na,None,Rare,200002,na,na
0565,Angus Mackenzie,Angus Mackenzie,Legends,Gold,Summon,Legend,None,Rare,110010,2,2
0566,Anti-Magic Aura,Anti-Magic Aura,Legends,Blue,Enchant,Creature,None,Common,000012,na,na
0567,Arboria,Arboria,Legends,Green,Enchant,World,None,Uncommon,020002,na,na
0568,Arcades Sabboth,Arcades Sabboth,Legends,Gold,Summon,ElderDragon,None,Rare,220022,7,7
0569,Arena of the Ancients,Ancients' Arena,Legends,Brown,Artifact,Continuous,None,Rare,000003,na,na
0570,Avoid Fate,Avoid Fate,Legends,Green,Interrupt,na,None,Common,010000,na,na
0571,Axelrod Gunnarson,Axelrod,Legends,Gold,Summon,Legend,None,Rare,002204,5,5
0572,Ayesha Tanaka,Ayesha Tanaka,Legends,Gold,Summon,Legend,None,Rare,200020,2,2
0573,Azure Drake,Azure Drake,Legends,Blue,Summon,Drake,None,Uncommon,000013,2,4
0574,Backdraft,Backdraft,Legends,Red,Instant,na,None,Uncommon,001001,na,na
0575,Backfire,Backfire,Legends,Blue,Enchant,Creature,None,Uncommon,000010,na,na
