ID,Card Name,Type Description,Artist Name,Rule Text,Quote
0282,Wheel of Fortune,Sorcery,Daniel Gelon,Both players must discard their hands and draw seven new cards,
0283,White Knight,Summon Knight,Daniel Gelon,"Protection from black, first strike",Out of the blackness and stench of the engulfing swamp emerged a shimmering figure. Only the splattered armor and ichor-stained sword hinted at the unfathomable evil the Knight had just laid waste.}0
0284,White Ward,Enchant Creature,Dan Frazier,Target creature gains protection from white.  The protection granted by White Ward does not destroy White Ward.,
0285,Wild Growth,Enchant Land,Mark Poole,Wild Growth adds |G to your mana pool each time target land is tapped for mana.,
0286,Will-O-The-Wisp,Summon Wisp,Jesper Myrfors,Flying  |B: Regenerate,"``About, about in reel and rout / The death-fires danced at night; / The water, like a witch's oils, / Burnt green, and blue and white.'' ---Samuel Coleridge, ``The Rime of the Ancient Mariner''"
0287,Winter Orb,Artifact,Mark Tedin,No player may untap more than one land during his or her untap phase.,
0288,Wooden Sphere,Artifact,Mark Tedin,|1: Gain 1 life for a successfully cast green spell.  Use this effect either when the spell is cast or later in the turn but only once for each green spell cast.,
0289,Word of Command,Instant,Jesper Myrfors,You may choose to cast any card opponent can legally cast from his hand,
0290,Wrath of God,Sorcery,Quinton Hoover,Bury all creatures.,
0291,Zombie Master,Summon Lord,Jeff A. Menges,"All zombies gain swampwalk and ""|B: Regenerate.""","They say the Zombie Master controlled these foul creatures even before his own death, but now that he is one of them, nothing can make them betray him."
0292,Amnesia,Sorcery,Mark Poole,Look at target players hand forcing him to discard all non-land cards,"""When one has witnessed the unspeakable, 'tis sometimes better to forget."" --- Vervamon the Elder"
0293,Angry Mob,Summon Mob,Drew Tucker,"Trample  During your turn, Angry Mob has power and toughness each equal to 2 plus the total number of swamps opponents control.  During other turns, Angry Mob has power and toughness 2/2.",
0294,Ashes to Ashes,Sorcery,Drew Tucker,Ashes to Ashes removes two target non-artifact creatures from the game and deals 5 damage to you.,"``All rivers eventually run to the sea. My job is to sort out who goes first.'' ---Maeveen O'Donagh, Memoirs of a Soldier"
0295,Ball Lightning,Summon Ball Lightning,Quinton Hoover,"Trample  Ball Lightning can attack the turn it comes into play.  At the end of any turn, bury Ball Lightning.",
0296,Banshee,Summon Banshee,Jesper Myrfors,|T: and pay |X to do 1/2X rounded up to controller and 1/2X rounded down to target,"Some say Banshees are the hounds of Death, baying to herd their prey into the arms of their master."
0297,Barl's Cage,Artifact,Tom Wanerstrand,Pay |3 to keep target creature from untapping during controller's next untap phase.,"For a dozen years the Cage had held Lord Ith, but as the Pretender Mairsil's power weakened, so did the bars."
0298,Wood's Dark Heart,Enchantment,Christopher Rush,You may sacrifice a forest to gain 3 life.,"Even the Goblins shun this haunted place, where the tree limbs twist in agony and the ground seems to scuttle under your feet."
0299,Blood Moon,Enchantment,Tom Wanerstrand,All non-basic lands are now basic mountains.,"Heavy light flooded across the landscape, cloaking everything in deep crimson."
0300,Apprentice Wizard,Summon Wizard,Dan Frazier,"|U, |T: Add  |3  to your mana pool.  Play this ability as an interrupt.",
0301,Blood of the Martyr,Instant,Christopher Rush,Until end of turn you may redirect damage done to any number of creatures to yourself instead.,The willow knows what the storm does not: that the power to endure harm outlives the power to inflict it.
0302,Bone Flute,Artifact,Christopher Rush,Pay |2 and tap to give all creatures -1 pow for one turn,"After the Battle of Pitdown, Lady Ursnell fashioned the first such instrument out of Lord Ursnell's left leg."
0303,Brainwash,Enchant Creature,Pete Venters,Target creature cannot attack unless its controller pays an addition  |3.,``They're not your friends; they despise you. I'm the only one you can count on. Trust me.''
0304,Brothers of Fire,Summon Brothers,Mark Tedin,|1|R|R: Brothers of Fire deals 1 damage to target creature or player and 1 damage to you.,Fire is never a gentle master.
0305,Carnivorous Plant,Summon Wall,Quinton Hoover,,"""It had a mouth like that of a great beast, and gnashed its teeth as it strained to reach us. I am thankful it possessed no means of locomotion."" --- Vervamon the Elder"
0306,Cave People,Summon Cave People,Drew Tucker,"When attacking, Cave People gets +1/-2 until end of turn.  |1|R|R: Target creature gains mountainwalk until end of turn.",
0307,City of Shadows,Land,Tom Wanerstrand,"Move any of your creatures under City card, removing them from play, tap to produce |x, x = number of creatures under City",
0308,Coal Man,Artifact Creature,Christopher Rush,Pay |3 and sacrifice Golem to gain |3.,"""Three such creatures stood burning at the crest of the hill.  Only seconds later, the Fireball struck our front lines."" --- Lydia, Countess Brellis"
0309,Dance of Many,Enchantment,Sandra Everingham,"Duplicates any creature in play, pay |U|U in upkeep each turn or it is discarded",
0310,Deep Water,Enchantment,Jeff A. Menges,Pay |U to make all mana producing lands you control produce |U until EOT,
0311,Dust to Dust,Sorcery,Drew Tucker,Removes 2 target artifacts from the game.,"Tervish never noticed that the amulet had vanished. It had disappeared not only from his possession, but from his memory as well."
0312,Eater of the Dead,Summon Eater,Jesper Myrfors,Pay |0 to remove a creature from any graveyard and untap Eater of the Dead,Even the putrid muscled of the dead can provide strength to those loathsome enough to consume them.
0313,Deep Shadow Elves,Summon Elves,Jesper Myrfors,|T: gain |B but loose one life as well. Plays as interrupt.,"""They are aberrations who have turned on everything we hold sacred. Let them be cast out."" --- Ailheen, Speaker of the Council"
0314,Erosion,Enchant Land,Pete Venters,"During his or her upkeep, target land's controller pays |1 or 1 life, or target land is destroyed.  Effects that prevent or redirect damage cannot be used to counter this loss of life.",
0315,Eternal Flame,Sorcery,Mark Poole,"|T: to do number of mountains caster has in damage to opponent, caster takes half this amount",
0316,Exorcist,Summon Exorcist,Drew Tucker,|W |1 |T:  destroy any black creature.,"Though they often bore little greater charm than the demons they battled, exorcists were always welcome in Scarwood."
0317,Fasting,Enchantment,Douglas Shuler,"For each turn caster does not draw a card, he gains 2 life for a max of 5 turns, when card is drawn fasting is discarded",
0318,Fellwar Stone,Artifact,Quinton Hoover,|T: to provide 1 mana of any color of any land opponent has in play,"``What do you have that I cannot obtain?'' ---Mairsil, called the Pretender"
0319,Fire and Brimstone,Instant,Jeff A. Menges,Does 4 damage to target player and to controller. Only used during turn target player has attacked.,
0320,Fire Drake,Summon Drake,Christopher Rush,"|R: Gains +1 pow, may only spend one mana this way",
0321,Fissure,Instant,Douglas Shuler,Bury target land or creature.,``Must not all things at the last be swallowed up in death?'' ---Plato
0322,Scarwood Hag,Summon Hag,Anson Maddocks,|G|G|G|G |T:give target creature forestwalk till EOT; |T: take forestwalk from target,
0323,People of the Wood,Summon People,Drew Tucker,toughness equals x where x = number of forests controller has in play,"""Their rain of arrows left only myself alive, cowering within a tree hollow. They did not even come out to loot the bodies."" --- Vervamon the Elder"
0324,Fountain of Youth,Artifact,Daniel Gelon,Pay |2 and tap to gain 1 life,"The Fountain had stood in the town square for centuries, but only the pigeons knew its secret."
0325,Frankenstein,Summon Monster,Anson Maddocks,"Build monster from x creatures taken from graveyard, each creature gives monster 2 pts. for pow or tuf. If x creatures are not used, spell is countered",
0326,Ghost Ship,Summon Ship,Tom Wanerstrand,Flying  |U|U|U: Regenerate,"``That phantom prow split the storm as lightning cast its long shadow on the battlefield below.'' ---Mireille Gaetane, The Valeriad"
0327,Giant Shark,Summon Shark,Tom Wanerstrand,"Opponent must have islands in play to attack, gains +2 pow and trample when attacking an injured creature until EOT. Controller must have 1 island in play",
0328,Spitting Slug,Summon Slug,Anson Maddocks,"Pay |G and |1 to gain first strike, if mana is not paid opponent gets first strike",
0329,Goblin Caves,Enchant Land,Drew Tucker,"When played on any mountain, all goblins in play gain +2 tough",The stench of countless generations of unspeakable activities was enough to loosen both our footing and our stomachs.
0330,Goblin Hero,Summon Goblin,Mark Tedin,,"They attacked in an orgy of rage and madness, but only one seemed as focused on killing us as on the sheer joy of battle."
0331,Goblin Wizard,Summon Goblin,Daniel Gelon,|T: to summon any gobling from your hand into play ; |R: give target goblin White Ward EOT,
0332,Goblins of the Flarg,Summon Goblins,Tom Wanerstrand,Goblins of the Flarg are buried if controller has any dwarves,
0333,Grave Robbers,Summon Robbers,Quinton Hoover,"|B |T: take 1 artifact from any graveyard and remove from game, gain 2 life.","""If you don't have your health, you don't have anything."" --- Proverb"
0334,Gaea's Touch,Enchantment,Mark Poole,Allows caster to put and extra land in play each turn as long as it is a basic forest. Sacrifice to gain 2 green mana.,
0335,Hidden Path,Enchantment,Rob Alexander,Gives all green creatures forestwalk,"""Where moments before we were lost beyond hope, the strange floating lights showed us the way and restored our morale."" --- Vervamon the Elder"
0336,Bog Imp,Summon Imp,Ron Spencer,Flying,"On guard for larger dangers, we underestimated the power and speed of the Imp's muck-crusted claws."
0337,Inferno,Instant,Randy Asplund-Faith,Inferno deals 6 damage to all players and all creatures.," ``Any scrap of compassion that still existed in my soul was permanently snuffed out when they cast me out into the flames.''  ---Mairsil, called the Pretender"
0338,Knights of Thorn,Summon Knights,Christopher Rush,,"""With a great cry, the Goblin host broke and ran as the first wave of Knights penetrated its ranks."" --- Tivador of Thorn, Histoy of the Goblin Wars"
0339,Land Leeches,Summon Leeches,Quinton Hoover,First strike,"""The standard cure for leeches requires the application of burning embers. Alternative methods must be devised should an ember of sufficient size prove more harmful than the leech."" --- Vervamon the Elder"
0340,Leviathan,Summon Leviathan,Mark Tedin,"Trample  Comes into play tapped and does not untap during your untap phase.  During your upkeep, you may sacrifice two islands to untap Leviathan.  Leviathan cannot attack unless you sacrifice two islands during your attack.",
0341,Living Armor,Artifact,Anson Maddocks,"|T: sacrifice living armor to give target creature +x tough, where x equals creatures castcost","Though it affords excellent protection, few don this armor. The process is uncomfortable and not easily reversed."
0342,Lurker,Summon Lurker,Anson Maddocks,Can only have spells cast upon it during a turn it has attacked or blocked,"""Each night we felt it watching us from the darkness beyond our fire. We only had one pack horse left."" --- Maeveen O'Donagh, Memoirs of a Soldier"
0343,Mana Clash,Sorcery,Mark Tedin,You and target opponent each flip a coin.  Mana Clash deals 1 damage to any player whose coin comes up tails.  Repeat this process until both players' coins come up heads at the same time.,
0344,Mana Vortex,Enchantment,Douglas Shuler,At start of their turn players must discard one land of their choice until all lands are gone or vortex is destroyed. Caster must sacrifice a land when cast.,
0345,Martyr's Cry,Sorcery,Jeff A. Menges,"All white creatures in play are removed from the game, each player draws one card for each creature he lost","""It is only fitting that one such as I should die in pursuit of knowledge."" --- Vervamon the Elder"
0346,Mind Bomb,Sorcery,Mark Tedin,Mind bomb does 3 damage to each player.  All players may discard up to three cards of their choice from their hands.  Each card a player discards in this manner prevents 1 damage to that player from Mind Bomb.,
0347,Morale,Instant,Mark Poole,All attacking creatures get +1/+1 until end of turn.,"``After Lacjsi's speech, the Knights grew determined to crush their ancient enemies clan by clan.'' ---Tivadar of Thorn,  History of the Goblin Wars"
0348,Necropolis,Artifact Creature,NeNe Thomas,Pay |0 to take a creature from your graveyard and remove it from the game. Necropolis gains +x tough equal to removed creatures castcost.,
0349,Orc General,Summon,Jesper Myrfors,May sacrifice 1 orc or goblin to give all orcs +1/+1 until end of turn.,"""Your army must fear you more than the enemy. Only then will you triumph."" --- Malga Phlegmtooth"
0350,Bog Rats,Summon Rats,Ron Spencer,Cannot be blocked by walls.,"Their stench was vile and strong enough, but not nearly as powerful as their hunger."
0351,Preacher,Summon Preacher,Quinton Hoover,|T: to gain control of any creature of opponent's choice,
0352,Psychic Allergy,Enchantment,Mark Tedin,"Opponent is allergic to 1 color of casters choice, takes 1 damage each upkeep for each card of that color he has in play. Sacrifice 2 islands to upkeep allergy.",
0353,Book of Rass,Artifact,Sandra Everingham," |2 , 2 life : draw 1 card.",
0354,Reflecting Mirror,Artifact,Mark Poole,Pay x to change spell which targets you to another player. x is 2x castcost of target spell,
0355,Riptide,Instant,Randy Asplund-Faith,|T: all blue creatures in play,
0356,Runesword,Artifact,Christopher Rush,"Pay |3 and tap to give target attacking creature +2 pow. Targets damaged may not be regenerated and are removed from game if buried. If holder of sword is destroyed, bury sword.",
0357,Safe Haven,Land,Christopher Rush,"|T |2: Any creature in play may be put in haven as interrupt. During upkeep, sacrifice haven to return all creatures there to play, as if just summoned.",
0358,ScareCrow,Artifact Creature,Anson Maddocks,|6 |T:  reduce all damage done to controller by flying creatures to 0.,There was more malice in its button eyes than should have been possible in something that had never known life.
0359,Season of the Witch,Enchantment,Jesper Myrfors,At the end of each players turn destroy all untapped creatures that could have attacked but did not. Pay 2 life to upkeep Season of the Witch. Upkeep damage is unblockable.,
0360,Sisters of the Flame,Summon Sisters,Jesper Myrfors,|T: Add  |R to your mana pool.  Play this ability as an interrupt.,We are many wicks sharing a common tallow; we feed the skies with the ashes of our prey.
0361,Skull of Orm,Artifact,Tom Wanerstrand,|5 |T: bring one enchantment from graveyard into your hand.,"Though lifeless, the Skull still possessed a strange power of the flow of magic."
0362,Standing Stones,Artifact,Sandra Everingham,"|1 , 1 life : add 1 mana of any color to your mana pool",
0363,Stone Calender,Artifact,Amy Weber,All of controllers spell costs are reduced by |1/,The Pretender Mairsil ordered a great Calender drawn up to shown when the paths to the Dark Lands were strongest.
0364,Sunken City,Enchantment,Jesper Myrfors,"All blue creatures get +1/+1.  During your upkeep, pay |U|U or destroy Sunken City.",
0365,Marsh Gas,Instant,Douglas Shuler,All creatures get -2/-0 until end of turn.,"""Comes right outta th' ground. If ya can smell it, it's too late."" --- Keevy Bogsbury"
0366,Marsh Goblins,Summon Goblins,Quinton Hoover,,"Even the other Goblin races shun the Marsh Goblins, thanks to certain unwholesome custom they practice."
0367,Cleansing,Sorcery,Pete Venters,"All lands are destroyed, may save lands for 1 life each",
0368,Tormod's Crypt,Artifact,Christopher Rush,|T and sacrifice :remove all cards from target players graveyard from the game.,"The dark opening seemed to breathe the cold, damp air of the dead earth in a steady rhythm."
0369,Dark Sphere,Artifact,Mark Tedin,|T and sacrifice: prevent 1/2 of damage done to you by a single source rounded down.,"``I was struck senseless for a moment, but revived when the strange curiosity I carried fell to the ground, screaming like a dying animal.'' ---Barl, Lord Ith"
0370,The Drowned,Summon Zombies,Quinton Hoover,|U: regenerate,"We asked Captain Soll what became of the Serafina, but all he said was, ""Ships that go down shouldn't come back up."""
0371,Murk Dwellers,Summon Dwellers,Drew Tucker,"When attacking and not blocked, Murk Dwellers gets +2/+0 until end of turn.","When Raganorn unsealed the catacombs, he found more than the dead and their treasures."
0372,The Fallen,Summon Fallen,Jesper Myrfors,"During upkeep, the fallen do one damage to each opponent they have previously damaged.",Magic often masters those who cannot master it.
0373,Niall Silvain,Summon Niall Silvain,Christopher Rush,|G|G|G|G |T: regenerate target creature.,"This is his domain, and while you remain here you must value all life as you value your own."
0374,Inquisition,Sorcery,Anson Maddocks,"Caster may look at opponents hand, every white card in his hand does 1 damage to opponent",Many of those entrusted to Primata Delphine's care tended to express themselves with screams.
0375,Holy Light,Instant,Drew Tucker,All non white creatures are at -1/-1 for 1 turn,"""Bathed in hallowed light, the infidels looked upon the impurities of their souls and despaired."" --- The Book of Tal"
0376,Diabolic Machine,Artifact Creature,Anson Maddocks,|3: regenerate,"``The bolts of our ballistae smashed into the monstrous thing, but our hopes died in our chests as its gears continued turning.''  ---Sevti Mukul, The Fall of Alsoor"
0377,Maze of Ith,Land,Anson Maddocks,"|T: to untap any of opponents attacking creatures, played as interrupt. Creature neither deals or recieves damage from combat",
0378,Nameless Race,Summon Nameless,Quinton Hoover,"Nameless has x pow/tuff, x = number of life points spent by caster upon summoning. x may not exceed number of white cards of opponents in play or in graveyard.",
0379,Tower of Coireall,Artifact,Dan Frazier,|T: to make any creature unblockable by walls,
0380,Tracker,Summon Tracker,Jeff A. Menges,|2 |T:  damage target creature by tracker's power,
0381,Sorrow's Path,Land,Randy Asplund-Faith,"|T: to rearrange up to 2 of opponents blocking creatures, does 2 damage to controller and all his creatures when tapped",
0382,Uncle Istvan,Summon Istvan,Daniel Gelon,All damage done to Uncle Istvan by creatures is reduced to 0.,Solitude drove the old hermit insane. Now he only keeps company with those he can catch.
0383,Venom,Enchant Creature,Tom Wanerstrand,"At the end of combat, destroy all non-wall creatures blocking or blocked by target creature.",""" I told him it was just a flesh wound, but the next time I looked at him, poor Tadhg was dead and gone."" --- Maeveen O'Donogh, Memoirs of a Soldier"
0384,Wand of Ith,Artifact,Quinton Hoover,"|3 |t: draw one card from opponents hand at random, discard spells unless opponent decides to take castcost in damage, the castcost for lands are considered 1 here.",
0385,War Barge,Artifact,Tom Wanerstrand,|3: give any creature islandwalk until end of turn. Bury creature if Barge is destroyed,
0386,Whippoorwill,Summon Whippoorwill,Douglas Shuler,"|G|G |T : Target creature cannot be regenerated, and damage to it can't be redirected. If buried, remove from game.","If the Whippoorwill remains silent, the soul has not reached its reward."
0387,Witch Hunter,Summon Hunter,Jesper Myrfors,|T: to do 1 damage to target creature;|1 |W |W |T: return target creature opponent controls to owner's hand.,
0388,Word of Binding,Sorcery,Ron Spencer,|T: X target creatures are tapped,"""That was the worst experience of my days: standing there helpless as they killled my whole troop."" --- Maeveen O'Donagh, Memoirs of a Soldier"
0389,WormWood Treefolk,Summon Treefolk,Jesper Myrfors,|G|G: forestwalk and controller takes 2 damage; |B|B: swampwalk and controller takes 2 damage,
0390,Worms of the Earth,Enchantment,Anson Maddocks,Prevents opponent from playing any land until worms are destroyed. Any player may destroy worms during his upkeep by sacrificing two lands or taking 5 damage.,"The ground collapsed, leaving nothing but the great Worms' mucous residues."
0391,Abu Jafar,Summon Abu Jafar,Ken Meyer Jr.,"If Abu dies while in combat, all creatures blocked or blocking him die also and may not regenerate",
0392,Aladdin,Summon Aladdin,Julie Baroh,"|R|R |1 |T: take control of an artifact, artifact is returned when Aladdin is removed from play",
0393,Aladdin's Lamp,Artifact,Mark Tedin," |X, |T: Instead of drawing a card from the top of your library, draw X cards but choose onloy one to put into your hand.  Shuffle the leftover cards and put them at the bottom of your library.  X cannot be 0.",
0394,Ali Baba,Summon Ali Baba,Julie Baroh,|R: taps target wall.,"``When he reached the entrance of the cavern, he pronounced the words, `Open, Sesame!' “---The Arabian Nights,  Junior Classics trans."
0395,Ali from Cairo,Summon Ali,Mark Poole,"As long as Ali from Cairo is in play, any damage that would reduce you below 1 life is prevented instead.",
0396,Aladdin's Ring,Artifact,Dan Frazier," |8, |T: Aladdin's Ring deals 4 damage to target creature or player.","``After these words the magician drew a ring off his finger, and put it on one of Aladdin's, saying: `It is a talisman against all evil, so long as you obey me."" --- The Arabian Nights, Junior Classics trans."
0397,Army of Allah,Instant,Brian Snoddy,All attacking creatures gets +2/+0 until end of turn.,"On the day of victory, no one is tired. --- Arab proverb"
0398,Bazaar of Baghdad,Land,Jeff A. Menges,"|T:  Draw two cards, then discard three cards.  If you do not have enough cards, your entire hand is discarded.",
0399,Bird Maiden,Summon Bird Maid,Kaja Foglio,Flying,"Four things that never meet do here unite / To shed my blood and to ravage my heart, / A radiant brow and tresses that beguile / And rosy cheeks and a glittering smile.'' ---The Arabian Nights, { trans. Haddawy}"
0400,Bottle of Suleiman,Artifact,Jesper Myrfors,"|1, Sacrifice Bottle of Suleiman: Flip a coin; target opponent calls heads or tails while coin is in the air.  If the flip ends up in opponent's favor, Bottle of Suleiman deals 5 damage to you.  Otherwise, put a Djinn token into play...",
0401,Camel,Summon Camel,Sandra Everingham,"Banding,  All damage done to Camel and creatures attacking in a band with Camel is reduced to 0.","Everyone knows Walid was a pious man, for he had been blessed with many sons, many jewels, and a great many camels."
0402,City in a Bottle,Artifact,Drew Tucker,,
0403,City of Brass,Land,Mark Tedin,"|T: produces one mana of any color, does 1 point of damage to controller each time it is tapped",
0404,Cuombajj Witches,Summon Witches,Kaja Foglio,"|T: do 1 damage to any target, opponent may do 1 damage to any target, you choose first,damage is simultaneous",
0405,Cyclone,Enchantment,Mark Tedin,"Cyclone does 1damage to both players and all creatures for each turn it exists, pay |G per turn or it is discarded",
0406,Dandan,Summon Dandan,Drew Tucker,"Cannot attack unless opponent has islands in play, is destroyed if controller has no islands in play",
0407,Desert,Land,Jesper Myrfors,|T: Add 1 colorless mana to your mana pool.;  |T: Desert deals 1 damage to target attacking creature at end of combat.,
0408,Desert Nomads,Summon Nomads,Christopher Rush,Desertwalk  All damage done to Desert Nomads by Deserts is reduced to 0.,
0409,Desert Twister,Sorcery,Susan Van Camp,Destroy target permanent.,
0410,Diamond Valley,Land,Brian Snoddy,"|T, Sacrifice a creature : gain life equal to that creature's toughness.",
0411,Drop of Honey,Enchantment,Anson Maddocks,During your upkeep the creature with the lowest power is destroyed and cannot be regenerated,
0412,Ebony Horse,Artifact,Dameon Willich," |2, |T: Untap target attacking creature you control.  That creature neither receives nor deals damage during combat this turn.",
0413,El-hajjaj,Summon El-hajjaj,Dameon Willich,You gain 1 life for every point of damage El-Hajjaj deals.  You cannot gain more life in this way than the toughness of the creature or the total life of the player that El-Hajjaj damages.,
0414,Elephant Graveyard,Land,Rob Alexander,|T:  Add |1 to your mana pool. ; |T: Regenerate target Elephant or Mammoth.,
0415,Erg Raiders,Summon Raiders,Dameon Willich,"If you do not attack with Erg Raiders during your turn, it deals 2 damage to you at end of turn.  Erg Raiders deals no damage to you the turn it comes into play on your side.",
0416,Erhnam Djinn,Summon Djinn,Ken Meyer Jr.,"During your upkeep, choose one of your opponent's non-wall creatures which gains forestwalk until end of turn",
0417,Eye for an Eye,Instant,Mark Poole,"You may cast Eye for an Eye only when a creature, spell, or effect deals damage to you.  Eye for an Eye deals an equal amount of damage to the controller of that creature, spell, or effect.  If another spell or effect reduces the amount...",
0418,Fishliver Oil,Enchant Creature,Anson Maddocks,Target creature gains islandwalk,"Then the maiden bade him cast off his robes and cover his body with fishliver oil, that he might safely follow her into the sea."
0419,Flying Carpet,Artifact,Mark Tedin," |2, |T: Target creature gains flying until end of turn.  If that creature is put into the graveyard before end of turn, destroy Flying Carpet.",
0420,Flying Men,Summon Flying Men,Christopher Rush,Flying,"Saffiyah clapped her hands and twenty flying men appeared at her side, each well trained in the art of combat."
0421,Ghazban Ogre,Summon Ogre,Jesper Myrfors,"During its current controller's upkeep, the player with the most life points takes control of the Ogre",
0422,Giant Tortoise ,Summon Tortoise,Kaja Foglio,Giant Tortoise gets +0/+3 while untapped.,
0423,Guardian Beast,Summon Guardian,Ken Meyer Jr.,"As long as Guardian Beast is untapped, your artifacts may not be stolen, enchanted, or put in the graveyard unless sacrificed.  If Guardian Beast would be put in the graveyard at the same time as an artifact, only Guardian Beast is...",
0424,Hasran Ogress ,Summon Ogre,Dan Frazier,Pay |2 each time Ogress attacks or she does 3 damage to you,
0425,Hurr Jackal,Summon Jackal,Drew Tucker,|T: Target creature cannot regenerate this turn.,
0426,Ifh-Biff Efreet,Summon Efreet,Jesper Myrfors,Flying  Any player may pay |G for Ifh-Biff Efreet to deal 1 damage to each players and each creature with flying.,
0427,Island Fish,Summon Island Fish,Jesper Myrfors,"Does not untap during your untap phase.  Cannot attack if defending player controls no islands.  If at any time you control no islands, bury Island Fish Jasconius.  |U|U|U: Untap Island Fish.  Use this ability only during your upkeep.",
0428,Island of Wak-Wak,Land,Douglas Shuler,"|T: Target flying creature gets -X/-0 until end of turn, where X is that creature's power.","The Isle of Wak-Wak, home to a tribe of winged folk is named for a peculiar fruit that grows there. The fruit looks like a woman's head, and when ripe speaks the word ""Wak."""
0429,Jandor's Ring,Artifact,Dan Frazier,"|2 , |T:  Discard a card you just drew from your library to draw a card.",
0430,Jandor's Saddlebags,Artifact,Dameon Willich,"|3, |T: Untap target creature.","Each day of their journey, Jandor opened the saddlebags and found them full of mutton, quinces, cheese, date rolls, wine, and all manner of delicious and satisfying foods."
0431,Jeweled Bird,Artifact,Amy Weber,"Your ante goes to graveyard, jeweled bird becomes ante and you draw another card for |1",
0432,Jihad,Enchantment,Brian Snoddy,"All white creatures get +2/+1.  Choose a color when you play Jihad.  If at any time opponent controls no c
0433,Junun Efreet,Summon Efreet,Christopher Rush,"Flying  During your upkeep, pay |B|B or bury Junun Efreet.",
0434,Juzam Djinn,Summon Djinn,Mark Tedin,Juzam Djinn deals 1 damage to you during your upkeep.,"""Expect my visit when the darkness comes. The night I think is best for hiding all."" --- Ouallada"
0435,Khabal Ghoul,Summon Ghoul,Douglas Shuler,"At the end of any turn, put a +1/+1 counter on Khabal Ghoul for each creature put in the graveyard from play during the turn.",
0436,King Suleiman,Summon King,Mark Poole,|T: Destroy target Efreet or Djinn.,"""We made tempestuous winds obedient to Soloman ... And many of the devils We also made obedient to him."" --- The Qur'an, 21:81"
0437,Kird Ape,Summon Ape,Ken Meyer Jr.,"As long as you control any forests, Kird Ape gets +1/+2.",
0438,Alexandrian Library,Land,Mark Poole,|T: Add |1 to your mana pool.;  |T: Draw a card.  Use this ability only if you have seven cards in your hand.,
0439,Magnetic Mountain,Enchantment,Susan Van Camp,"Blue creatures do not untap during their controllers' untap phase.  During his or her upkeep, a player may pay an additional |R to untap a blue creature he or she controls.",
0440,Merchant Ship,Summon Ship,Tom Wanerstrand,"If Merchant Ship attacks and is not blocked, you gain 2 life.  Cannot attack if defending player controls no islands.  If at any time you control no islands, bury Merchant Ship.",
0441,Metamorphosis,Sorcery,Christopher Rush,"Sacrifice a creature of yours in play for mana of any color equal to casting cost plus 1, use mana to summon another creature",
0442,Mijae Djinn,Summon Djinn,Susan Van Camp,"If Mijae Djinn is declared as an attacker, flip a coin immediately after attack is announced; target opponent calls heads or tails while coin is in the air.  If the flip ends up in your favor, Djinn attacks normally.  Otherwise, Djinn becomes tapped...",
0443,Moorish Cavalry,Summon Cavalry,Dameon Willich,Trample,"Members of the elite Moorish Cavalry are very particular about their mounts, choosing only those whose bloodlines have been pure for generations."
0444,Naf's Asp,Summon Asp,Christopher Rush,"If Nafs Asp damages a player, it also deals 1 damage to that player during his or her next draw phase.  Before then, the player may pay |1 to prevent this damage.",
0445,Oasis,Land,Brian Snoddy,|T: Prevent 1 damage to any creature.,
0446,Old Man of the Sea,Summon Marid,Susan Van Camp,"You may choose not to untap Old Man of the Sea during your untap phase.  |T: Gain control of target creature with power no greater than Old Man's.  You lose control of this permanent if Old Man becomes untapped, if Old Man leaves play, or...",
0447,Oubliette,Enchantment,Douglas Shuler,"Target creature is considered out of play until Oubliette leaves play.  This creature keeps all counters, enchantments, and permanent changes, but these are considered out of play as well.  When Oubliette leaves play, creature returns to play tapped.",
0448,Piety,Instant,Mark Poole,All blocking creatures get +0/+3 until end of turn.,"""Whoever obeys God and His Prophet, fears God and does his duty to Him, will surely find success.'' ---The Qur'an, 24:52"
0449,Pyramids,Artifact,Amy Weber, |2 : Prevent target land from being put in the graveyard. ;  |2 : Destroy target enchant land.,
0450,Blacksmith,Summon Smith,Drew Tucker,,"``For my confession they burned me with fire / And found that I was for endurance made.''  ---The Arabian Nights,  trans. Haddawy"
0451,Ring of Maruf,Artifact,Dan Frazier,"Instead of drawing a card, you may select one of your cards from outside the game to add to your hand for |5 , Ring of Maruf is then removed from play",
0452,Rukh Egg,Summon Egg,Christopher Rush,"If Rukh Egg is put into the graveyard from play, put a Rukh token into play at end of turn.  Treat this token as a 4/4 red creature with flying.",
0453,Sandals of Abdallah,Artifact,Dan Frazier," |2, |T: Target creature gains islandwalk until end of turn.  If that creature is put into the graveyard before end of turn, destroy Sandals of Abdallah.",
0454,Sandstorm,Instant,Brian Snoddy,Sandstorm deals 1 damage to all attacking creatures.,"Even the landscape turned against Sarsour, first rising up and pelting him, then rearranging itself so he could no longer find his way."
0455,Serendib Djinn,Summon Djinn,Anson Maddocks,"During upkeep you must destroy one land, if it is an island take 3 damage, Djinn is destroyed if you have no islands",
0456,Serendib Efreet,Summon Efreet,Anson Maddocks,Serendib Efreet deals 1 damage to you during your upkeep.,
0457,Shahrazad,Sorcery,Kaja Foglio,"Players use cards left in library to play mini-game of magic, loser loses 1/2 of remaining life points",
0458,Sindbad,Summon Sindbad,Julie Baroh,"|T: Draw a card.  If it is not a land, discard it.",
