Sentinel,Card Name,Game ID,Card Status,,,,Original Set,,Additional Cardsets,,,,Mana Sources,Types of Mana Generated,,,,,,AI Values,Color and Land Values,,,,,,Dependencies,,,Class Value Modifiers,,,,,,,,,,,,,,,,,,,,,Persistant Attributes,,Variable Attributes,,,Creature Abilities,1 has 2 gives 4 anti,,,,
97,Gauntlet of Might,0096,No,,,,Unlimited,R,-,-,-,-,-,-,-,1,-,-,-,1,-,00010,-,-,00010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-50,-,-,-,-,-,-,-,-,-,-,-
98,Giant Growth,0097,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,0,-,-,3,3,-,-,-,-,-,-,-
99,Giant Spider,0098,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,4,-,-,-,4,-,-,-,-,-
100,Glasses of Urza,0099,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
101,Gloom,0100,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,1,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
102,Goblin Balloon Brigade,0101,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,1,-,-,-,-,-
103,Goblin King,0102,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,00010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
104,Granite Gargoyle,0103,No,,,,Unlimited,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,1,1,1,-,-,-,-,-
105,Gray Ogre,0104,No,,,,Unlimited,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
106,Green Ward,0105,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,00001,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
107,Grizzly Bears,0106,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
108,Guardian Angel,0107,No,,,,Unlimited,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
109,Healing Salve,0108,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-
110,Helm of Chatzuk,0109,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,2,-,-,-,-
111,Hill Giant,0110,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,3,3,-,-,-,-,-,-,-,-,-
112,Holy Armor,0111,No,,,,Unlimited,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,2,-,1,1,-,-,-,-,-,-
113,Holy Strength,0112,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,1,2,-,-,-,-,-,-,-,-,-
114,Howl from Beyond,0113,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,6,-,-,-,-,-,-,-,-
115,Howling Mine,0114,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
116,Hurloon Minotaur,0115,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,3,-,-,-,-,-,-,-,-,-
117,Hurricane,0116,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,50,-,-,-,-,-,4,-,-,-,-,-
118,Hypnotic Specter,0117,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,-,-,1,-,-,-,-,-
119,Ice Storm,0118,No,,,,Unlimited,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
120,Icy Manipulator,0119,No,,,,Unlimited,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
121,Illusionary Mask,0120,No,,,,Unlimited,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
122,Instill Energy,0121,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
123,Invisibility,0122,No,,,,Unlimited,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
124,Iron Star,0123,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,00010,00010,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-20,-,-,-,-,-,-,-,-,-,-,-
125,Ironclaw Orcs,0124,Yes,,,,Unlimited,C,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
126,Ironroot Treefolk,0125,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,3,5,-,-,-,-,-,-,-,-,-
127,Island,0126,Yes,,,,Unlimited,L8,L8,L8,L,-,-,1,-,-,-,-,-,-,-,-,-,-,-,01000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-65,-,-,-,-,-,-,-,-,-,-,-
128,Island Sanctuary,0127,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,1,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
129,Ivory Cup,0128,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,10000,10000,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-20,-,-,-,-,-,-,-,-,-,-,-
130,Jade Monolith,0129,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
131,Jade Statue,0130,No,,,,Unlimited,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,0,3,6,-,-,-,-,-,-,-,-,-
132,Jayemdae Tome,0131,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
133,Juggernaut,0132,No,,,,Unlimited,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,5,3,-,-,-,-,-,-,-,-,-
134,Jump,0133,No,,,,Unlimited,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,1,-,-,-,-,-
135,Karma,0134,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,1,-,-,-,00100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
136,Keldon Warlord,0135,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, ,-,2,-,-,-,-,-,-,-,0,4,4,-,-,-,-,-,-,-,-,-
137,Kormus Bell,0136,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,1,-,-,-,-,00100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
138,Kudzu,0137,No,,,,Unlimited,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
139,Lance,0138,No,,,,Unlimited,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,4,-,-,-,-,-,-,-,-25,-,-,-,-,-,-,-,-,1,-,-
140,Ley Druid,0139,Yes,,,,Unlimited,U,U,U,C,-,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,25,1,1,-,-,-,-,-,-,-,-,-
141,Library of Leng,0140,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
142,Lich,0141,No,,,,Unlimited,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,2,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
143,Lifeforce,0142,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,00100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
144,Lifelace,0143,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,00001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
145,Lifetap,0144,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,00001,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
146,Lightning Bolt,0145,No,,,,Unlimited,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
147,Living Artifact,0146,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
148,Living Lands,0147,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,1,-,-,-,-,00001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
149,Living Wall,0148,No,,,,Unlimited,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,-,6,-,-,-,-,-,-,-,1,-
150,Llanowar Elves,0149,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
151,Lord of Atlantis,0150,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,01000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
152,Lord of the Pit,0151,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,0,7,7,-,-,-,1,-,1,-,-,-
153,Lure,0152,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
154,Magical Hack,0153,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
155,Mahamoti Djinn,0154,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,5,6,-,-,-,1,-,-,-,-,-
159,Mana Flare,0155,Yes,,,,Unlimited,R,R,R,R,-,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
156,Mana Short,0156,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
157,Mana Vault,0157,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
158,Manabarbs,0158,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,1,-,-,-,1,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
160,Meekstone,0159,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
161,Merfolk of the Pearl Trident,0160,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
162,Mesa Pegasus,0161,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,1,1,-,-,-,-
163,Mind Twist,0162,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
164,Mons Goblin Raiders,0163,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
165,Mountain,0164,Yes,,,,Unlimited,L8,L8,L8,L,-,-,-,-,1,-,-,-,-,-,-,-,-,-,00010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-65,-,-,-,-,-,-,-,-,-,-,-
166,Mox Emerald,0165,No,,,,Unlimited,R,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
167,Mox Jet,0166,No,,,,Unlimited,R,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
168,Mox Pearl,0167,No,,,,Unlimited,R,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
169,Mox Ruby,0168,No,,,,Unlimited,R,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
170,Mox Sapphire,0169,No,,,,Unlimited,R,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
171,Natural Selection,0170,No,,,,Unlimited,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-
172,Nether Shadow,0171,Yes,,,,Unlimited,3E,-,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
173,Nettling Imp,0172,No,,,,Unlimited,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,5,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
174,Nevinyrral's Disk,0173,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,5,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
175,Nightmare,0174,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,00100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,3,3,-,-,-,1,-,-,-,-,-
176,Northern Paladin,0175,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,00100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,3,3,-,-,-,-,-,-,-,-,-
177,Obsianus Golem,0176,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,4,6,-,-,-,-,-,-,-,-,-
178,Orcish Artillery,0177,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,3,-,-,-,-,-,-,-,-,-
179,Orcish Oriflamme,0178,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,50,5,-,-,-,-,-,-,-,-,-,-
180,Paralyze,0179,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
181,Pearled Unicorn,0180,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
182,Personal Incarnation,0181,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,6,6,-,-,-,-,-,-,-,-,-
183,Pestilence,0182,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,2,-,-,-,-,1,-,4,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
184,Phantasmal Forces,0183,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,4,1,-,-,-,1,-,-,-,-,-
185,Phantasmal Terrain,0184,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11111,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
186,Phantom Monster,0185,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,3,3,-,-,-,1,-,-,-,-,-
187,Pirate Ship,0186,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,01000,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,4,3,-,-,-,-,-,-,-,-,1
188,Plague Rats,0187,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
189,Plains,0188,Yes,,,,Unlimited,L9,L9,L9,L,-,1,-,-,-,-,-,-,-,-,-,-,-,-,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-65,-,-,-,-,-,-,-,-,-,-,-
190,Plateau,0189,No,,,,Unlimited,R,R,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,10010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-50,-,-,-,-,-,-,-,-,-,-,-
191,Power Leak,0190,No,,,,Unlimited,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
192,Power Sink,0191,Yes,,,,Unlimited,C,C,C,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-
193,Power Surge,0192,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,1,-,-,-,1,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
194,Prodigal Sorcerer,0193,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
195,Psionic Blast,0194,No,,,,Unlimited,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
196,Psychic Venom,0195,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
197,Purelace,0196,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
198,Raging River,0197,No,,,,Unlimited,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
199,Raise Dead,0198,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
