ID;Full Name;CODED CARD;Name;Expansion;Color;Card Type;DB Card Type 2;Rarity;Req Colorless;Req Black;Req Blue;Req Green;Req Red;Req White;Num Pics;Mod Direct Fire;Mod Land Destructor;Mod Draw Cards;Mod Discard;Mod Gain Life;Mod Damage Prevention;Mod Recycler;Mod Counter Spell;Mod Control;Mod Combat Manipulator;Mod Enchantments;Mod Artifacts;Mod Creature;Mod Creature Generator;Mod Damage Opponent;Mod Library Manipulation;Mod Dummy 1;Mod Dummy 2;Mod Dummy 3;Mod Dummy 4;AI Inc Power;AI Inc Toughness;AI Power;AI Toughness;AI Base Value;Dependent Arifact;Dependent Creature;Dependent Wall;Sleighted Color;VS Black;VS Blue;VS Green;VS Red;VS White;For Black;For Blue;For Green;For Red;For White;Count as Black;Count as Blue;Count as Green;Count as Red;Count as White;VS Black Land;VS Blue Land;VS Green Land;VS Red Land;VS White Land;For Black Land;For Blue Land;For Green Land;For Red Land;For White Land;Count as Black Land;Count as Blue Land;Count as Green Land;Count as Red Land;Count as White Land;AI Flying;AI Banding;AI Trample;AI First Strike;AI Wall;AI Landhome;Exp Rarity;Power;Toughness;Num of DB Abilities;DBA1;DBA2;DBA3;DBA4;DBA5;DBA6;DBA7;DBA8;Mana Source Colors;Inflatable;Hack Color;Hack Mode;Enchant Type OWN;Enchant Type OPP;Subtype;Subtype 2;Type Text;Rules Text;Flavor Text;Damage Text;Effect Title Text;Effect Text;Legacy Title Text;Legacy Text
205;Righteousness;1;Righteousness;0800h;8;3;0;2;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;7;7;0;0;-50;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0999h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Instant;Target blocking creature gets +7/+7 until end of turn.;“I too shall be brought low by death, but until then let me win glory.”\n—Homer, Iliad, Book XVIII;;PowerUp Effect;Target blocking creature gains +7/+7 until end of turn.;;
206;Roc of Kher Ridges;1;Roc of Kher Ridges;0800h;7;7;0;2;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;09h;3;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;157;211;Creature — Roc;Flying;We encountered a valley topped with immense boulders and eerie rock formations. Suddenly one of these boulders toppled from its perch and sprouted gargantuan wings, casting a shadow of darkness and sending us fleeing in terror.;;;;;
207;Rock Hydra;1;Rock Hydra;0800h;7;7;12;2;40;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;4;4;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;09h;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;97;211;Creature — Hydra;Rock Hydra comes into play with X +1/+1 counters on it.\nFor each 1 damage that would be dealt to Rock Hydra, if it has a +1/+1 counter on it, remove a +1/+1 counter from it and prevent that 1 damage.\n|R: Prevent the next 1 damage that would be dealt to Rock Hydra this turn.\n|R|R|R: Put a +1/+1 counter on Rock Hydra. Play this ability only during your upkeep.;;;;;;
208;Rod of Ruin;1;Rod of Ruin;0800h;3;1;4;4;4;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10111h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;|3, |T: Rod of Ruin deals 1 damage to target creature or player.;The rod is a relic from ancient times... cruel, vicious, mean-spirited times.;;;;;
209;Royal Assassin;1;Royal Assassin;0800h;1;7;0;2;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90099h;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;211;Creature — Assassin;|T: Destroy target tapped creature.;Trained in the arts of stealth, the Royal Assassins choose their victims carefully, relying on timing and precision rather than brute force.;;;;;
210;Sacrifice;1;Sacrifice;0800h;1;4;10;4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01h;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;211;211;Instant;As an additional cost to play Sacrifice, sacrifice a creature.\nAdd to your mana pool an amount of |Sblack mana equal to the sacrificed creature's converted mana cost.;;;;;;
211;Samite Healer;1;Samite Healer;0800h;8;7;8;1;1;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50555h;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;211;Creature — Cleric;|T: Prevent the next 1 damage that would be dealt to target creature or player this turn.;Healers ultimately acquire the divine gifts of spiritual and physical wholeness. The most devout are also granted the ability to pass physical wholeness on to others.;;;;;
212;Savannah;1;Savannah;0800h;6;5;10;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;09h;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;211;211;Land — Plains Forest;Savannah can be tapped to produce |W or |G.;;;;;;
213;Savannah Lions;1;Savannah Lions;0800h;8;7;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90099h;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;211;Creature — Lion;;Even the brave are scared by a lion three times: first by its tracks, again by its roar, and one last time face to face.\n—Somali proverb ;;;;;
214;Scathe Zombies;1;Scathe Zombies;0800h;1;7;0;1;2;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50555h;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;211;Creature — Zombie;;"“They groaned, they stirred, they all uprose, / Nor spake, nor moved their eyes; / It had been strange, even in a dream, / To have seen those dead men rise.”\n—Samuel Coleridge, “The Rime of the Ancient Mariner”";;;;;
215;Scavenging Ghoul;1;Scavenging Ghoul;0800h;1;7;0;4;3;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;011h;2;2;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;83;211;Creature — Ghoul;At end of turn, put a corpse counter on Scavenging Ghoul for each creature put into a graveyard from play that turn.\nRemove a corpse counter from Scavenging Ghoul: Regenerate Scavenging Ghoul.;;;;;;
216;Scrubland;1;Scrubland;0800h;6;5;10;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;09h;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;211;211;Land — Plains Swamp;Scrubland can be tapped to produce |W or |B.;;;;;;
217;Scryb Sprites;1;Scryb Sprites;0800h;5;7;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0555h;1;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;73;211;Creature — Faerie;Flying;The only sound was the gentle clicking of the Faeries' wings. Then those intruders who were still standing turned and fled. One thing was certain: They didn't think the Scryb were very funny anymore.;;;;;
218;Sea Serpent;1;Sea Serpent;0800h;2;7;0;1;5;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0555h;5;5;0;0;0;0;0;0;0;0;0;0;0;4;7;0;0;163;211;Creature — Serpent;Sea Serpent can't attack unless defending player controls |Han Island.\nWhen you control no |H1Islands, sacrifice Sea Serpent.;Legend has it that Serpents used to be bigger, but how could that be?;;;;;
219;Sedge Troll;1;Sedge Troll;0800h;7;7;0;2;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;09h;2;2;1;17;0;0;0;0;0;0;0;0;0;2;3;0;0;187;211;Creature — Troll;Sedge Troll gets +1/+1 as long as you control |Ha Swamp.\n|B: Regenerate Sedge Troll.;"The stench in the hovel was overpowering; something loathsome was cooking. Occasionally something surfaced in the thick paste, but my host would casually push it down before I could make out what it was.";;;;;
220;Sengir Vampire;1;Sengir Vampire;0800h;1;7;0;4;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;011h;4;4;1;4;0;0;0;0;0;0;0;0;1;0;0;0;0;191;211;Creature — Vampire;Flying\nWhenever a creature dealt damage by Sengir Vampire this turn is put into a graveyard, put a +1/+1 counter on Sengir Vampire.;;;;;;
221;Serra Angel;1;Serra Angel;0800h;8;7;0;4;3;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;4;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;90011h;4;4;2;4;6;0;0;0;0;0;0;0;0;0;0;0;0;5;211;Creature — Angel;Flying\nAttacking doesn't cause Serra Angel to tap.;When she flies above the good, they consider themselves blessed. When she flies above the wicked, they consider themselves dead.;;;;;
222;Shanodin Dryads;1;Shanodin Dryads;0800h;5;7;0;1;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0555h;1;1;1;5;0;0;0;0;0;0;0;0;0;8;1;0;0;10;211;Creature — Dryad;|H2Forestwalk;Moving without sound, swift figures pass through branches and undergrowth completely unhindered. One with the trees around them, the Dryads of Shanodin Forest are seen only when they wish to be.;;;;;
223;Shatter;1;Shatter;0800h;7;3;0;1;1;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50555h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Instant;Destroy target artifact.;“Such fuss over machines, Gerrard. Remember that you are the prize of the Legacy. Throw away your toys!”\n—Orim, Samite healer;;;;;
224;Shivan Dragon;1;Shivan Dragon;0800h;7;7;12;2;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;90999h;5;5;1;4;0;0;0;0;0;0;0;0;1;0;0;0;0;52;211;Creature — Dragon;Flying\n|R: Shivan Dragon gets +1/+0 until end of turn.;The undisputed master of the mountains of Shiv.;;PowerUp Effect;Shivan Dragon gains +|n/+0 until end of turn.;;
225;Simulacrum;1;Simulacrum;0800h;1;3;8;4;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;011h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Instant;You gain life equal to the damage dealt to you this turn. Simulacrum deals to target creature you control damage equal to the damage dealt to you this turn.;;;;;;
226;Sinkhole;1;Sinkhole;0800h;1;6;9;1;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Sorcery;Destroy target land.;;;;;;
227;Siren's Call;1;Siren's Call;0800h;2;3;11;4;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;011h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Instant;Play only during an opponent's turn and only before attackers are declared.\nCreatures the active player controls attack this turn if able.\nAt end of turn, destroy all non-Wall creatures that player controls that didn't attack this turn. Ignore this effect for each creature the player didn't control continuously since the beginning of the turn.;;;Combat Effect;All of opponent's non-Wall creatures that can attack must do so. Any of those creatures which did not attack are destroyed at end of turn.;;
228;Sleight of Mind;1;Sleight of Mind;0800h;2;4;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0999h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Instant;"Change the text of target spell or permanent by replacing all instances of one color word with another. (For example, you may change ""target black spell"" to ""target blue spell."") (This effect doesn't end at end of turn.)";;;;;Sleight Legacy;All instances of the word |L have been changed to |M in target card.
229;Smoke;1;Smoke;0800h;7;2;11;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0999h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Enchantment;Players can't untap more than one creature during their untap steps.;;;;;;
230;Sol Ring;1;Sol Ring;0800h;3;1;10;4;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01h;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;211;211;Artifact;|T: Add |2 to your mana pool.;;;;;;
231;Soul Net;1;Soul Net;0800h;3;1;7;4;1;0;0;0;0;0;3;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0111h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;Whenever a creature is put into a graveyard from play, you may pay |1. If you do, you gain 1 life.;;;;;;
232;Spell Blast;1;Spell Blast;0800h;2;4;3;1;40;0;1;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0555h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Instant;Counter target spell with converted mana cost X.;;;;;;
233;Stasis;1;Stasis;0800h;2;2;11;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0999h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Enchantment;Players skip their untap steps.\nAt the beginning of your upkeep, sacrifice Stasis unless you pay |U.;;;;;;
234;Steal Artifact;1;Steal Artifact;0800h;2;2;2;4;2;0;2;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10111h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;11;211;Enchant Artifact;You control enchanted artifact.;;;;;;
235;Stone Giant;1;Stone Giant;0800h;7;7;0;4;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0111h;3;4;1;24;0;0;0;0;0;0;0;0;0;0;0;0;0;84;211;Creature — Giant;|T: Target creature you control with toughness less than Stone Giant's power gains flying until end of turn. At end of turn, destroy that creature.;What goes up, must come down.;;Ability Effect;Target creature gains flying until end of turn. At end of turn, target creature is destroyed.;;
236;Stone Rain;1;Stone Rain;0800h;7;6;9;1;2;0;0;0;1;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50555h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Sorcery;Destroy target land.;“The land shall beg for drink and curse the rain that follows.”\n—Oracle en- Vec ;;;;;
237;Stream of Life;1;Stream of Life;0800h;5;6;7;1;40;0;0;1;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10555h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Sorcery;Target player gains X life.;;;;;;
238;Sunglasses of Urza;1;Sunglasses of Urza;0800h;3;1;0;2;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;099h;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;211;211;Artifact;|W: Add |R to your mana pool.;;;;;;
239;Swamp;1;Swamp;0800h;6;5;10;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;144;211;Basic Land — Swamp;;;;;;;
240;Swords to Plowshares;1;Swords to Plowshares;0800h;8;3;7;4;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;011h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Instant;Remove target creature from the game. Its controller gains life equal to its power.;“The so-called Barbarians will not respect us for our military might—they will respect us for our honor.”\n—Lucilde Fiksdotter, Leader of the Order of the White Shield ;;;;;
241;Taiga;1;Taiga;0800h;6;5;10;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;09h;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;211;211;Land — Mountain Forest;Taiga can be tapped to produce |R or |G.;;;;;;
242;Terror;1;Terror;0800h;1;3;0;4;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0111h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Instant;Destroy target non-artifact, |Snon-black creature. It can't be regenerated.;;;;;;
243;The Hive;1;The Hive;0800h;3;1;0;2;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;3;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0999h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;|5, |T: Put a 1/1 Wasp artifact creature token with flying into play.;Mouths and wings beyond numbering, but a single mind to guide them.;;;;;
244;Thicket Basilisk;1;Thicket Basilisk;0800h;5;7;0;4;3;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0111h;2;4;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;22;211;Creature — Basilisk;Whenever Thicket Basilisk blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat.;Moss-covered statues littered the area, a macabre monument to the Basilisk's power.;;Stoning Effect;Non-Wall creatures blocking or blocked by Basilisk are destroyed at end of combat.;;
245;Thoughtlace;1;Thoughtlace;0800h;2;4;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;099h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Instant;Target spell or permanent becomes |Sblue. (Mana symbols on that permanent remain unchanged.);;;Lace Effect;The color of target permanent is changed to |C.;;
246;Throne of Bone;1;Throne of Bone;0800h;3;1;7;4;1;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-20;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10111h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;Whenever a player plays a |Sblack spell, you may pay |1. If you do, you gain 1 life.;Tainted by a thousand fears.;;;;;
247;Timber Wolves;1;Timber Wolves;0800h;5;7;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;099h;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;203;211;Creature — Wolf;Banding;Though many think of Wolves as solitary predators, they are actually extremely social animals. During a hunt they often call to each other, which can be quite unsettling for their prey.;;;;;
248;Time Vault;1;Time Vault;0800h;3;1;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;Time Vault comes into play tapped.\nTime Vault doesn't untap during your untap step.\nSkip your next turn: Untap Time Vault and put a time counter on it.\n|T, Remove all time counters from Time Vault: Take an extra turn after this one. Play this ability if only there's a time counter on Time Vault.;;;Time Legacy;Phasing player gets an extra turn after the current one.;;
249;Time Walk;1;Time Walk;0800h;2;6;0;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Sorcery;Take an extra turn after this one.;;;Time Legacy;Phasing player gets an extra turn after the current one.;;
