Card#;Unknown;Card Name;Card ID;Card Type;Special Type;Color;Colored Cost;Colorless Cost;Unused;Power;Toughness;Unused;Code Reference;Abilities 1;Abilities 2;Abilities 3;Abilites 4;Type 1;Type 2;Type 3;Type 4;Unknown;When to Play;Edition;Unused;Rating
1624;0x00;Chainer, Dementia Master;5790;0b00000010;0x0E;0b00000010;2;3;0x00;3;3;0x00;0x02008F18;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00110001;0b00000000;0x00;0
1625;0x00;Chainer's Edict;5789;0b00001000;0xFF;0b00000010;1;1;0x09;0;0;0x01;0x02002514;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001001;0b00000000;0x00;2
1626;0x00;Chains of Mephistopheles;594;0b00000100;0xFF;0b00000010;1;1;0x00;0;0;0x00;0x020029E7;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1627;0x00;Chalice of Death;12148;0b01000000;0xFF;0b00000000;0;0;0x00;0;0;0x00;0x02004CB0;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b11111000;0b00000000;0x00;0
1628;0x00;Chalice of Life;12147;0b01000000;0xFF;0b00000001;0;3;0x00;0;0;0x00;0x02004CAB;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b10001000;0b00000000;0x00;0
1629;0x00;Chalice of the Void;6630;0b01000000;0xFF;0b00000001;0;0;0x00;0;0;0x00;0x02005232;0b00000000;0b00000000;0b00000000;0b00000000;0b00100000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1630;0x00;Chamber of Manipulation;5514;0b00000100;0xFF;0b00000100;2;2;0x00;0;0;0x00;0x02008C93;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00111000;0b00000000;0x00;0
1631;0x00;Chameleon Blur;8499;0b00010000;0xFF;0b00001000;1;3;0x00;0;0;0x00;0x02006EE8;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000100;0b00000000;0x00;0
1632;0x00;Chameleon Colossus;9334;0b00000010;0xFF;0b00001000;2;2;0x00;4;4;0x00;0x02002AD7;0b00000000;0b00001000;0b00001000;0b00000000;0b00011001;0b00000000;0b00000000;0b00000000;0b00000000;0b01001000;0b00000000;0x00;1
1633;0x00;Chameleon Spirit;4421;0b00000010;0xFF;0b00000100;1;3;0x00;16384;16384;0x00;0x020051A1;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1634;0x00;Champion of Lambholt;12329;0b00000010;0xFF;0b00001000;2;1;0x00;1;1;0x00;0x02005BC4;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
1635;0x00;Champion of Stray Souls;13675;0b00000010;0xFF;0b00000010;2;4;0x09;4;4;0x00;0x0200B6BE;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b11001000;0b00000000;0x00;0
1636;0x00;Champion of the Parish;11900;0b00000010;0xFF;0b00100000;1;0;0x00;1;1;0x00;0x02003E00;0b00000000;0b00000000;0b00000000;0b00000000;0b00100000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001001;0b00000000;0x00;2
1637;0x00;Champion's Drake;10889;0b00000010;0xFF;0b00000100;1;1;0x00;1;1;0x00;0x02008586;0b00100000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1638;0x00;Champion's Helm;11768;0b01000000;0xFF;0b00000001;0;3;0x00;0;0;0x00;0x0200651F;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
1639;0x00;Chance Encounter;5515;0b00000100;0xFF;0b00010000;2;2;0x00;0;0;0x00;0x02008C98;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1640;0x00;Chancellor of the Annex;11577;0b00000010;0xFF;0b00100000;3;4;0x00;5;6;0x00;0x02004657;0b00100000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b11110001;0b00000000;0x00;1
1641;0x00;Chancellor of the Dross;11579;0b00000010;0xFF;0b00000010;3;4;0x00;6;6;0x00;0x0200415C;0b00100000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;1
1642;0x00;Chancellor of the Forge;11580;0b00000010;0xFF;0b00010000;3;4;0x00;5;5;0x00;0x0200465C;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
1643;0x00;Chancellor of the Spires;11581;0b00000010;0xFF;0b00000100;3;4;0x01;5;7;0x01;0x02004661;0b00100000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;1
1644;0x00;Chancellor of the Tangle;11582;0b00000010;0xFF;0b00001000;3;4;0x04;6;7;0x00;0x020037C0;0b00000000;0b00000100;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;2
1645;0x00;Chandler;1633;0b00000010;0x0E;0b00010000;1;4;0x00;3;3;0x00;0x0200A3FE;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b11111000;0b00000000;0x00;0
1646;0x00;Chandra Ablaze;10520;0b00000100;0xFF;0b00010000;2;4;0x09;0;0;0x01;0x02001B0F;0b00000000;0b00000000;0b00000000;0b00000000;0b01000001;0b00000000;0b01000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;3
1647;0x00;Chandra Nalaar;9095;0b00000100;0xFF;0b00010000;2;3;0x09;0;0;0x01;0x02001867;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b01000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;3
1648;0x00;Chandra, Pyromaster;13272;0b00000100;0xFF;0b00010000;2;2;0x09;0;0;0x00;0x0200AB83;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b01000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
1649;0x00;Chandra, the Firebrand;11790;0b00000100;0xFF;0b00010000;1;3;0x09;0;0;0x01;0x02003CB1;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b01000000;0b00000000;0b00000000;0b00011001;0b00000000;0x00;3
1650;0x00;Chandra's Fury;12550;0b00010000;0xFF;0b00010000;1;4;0x00;0;0;0x00;0x02006628;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001111;0b00000000;0x00;0
1651;0x00;Chandra's Outrage;11104;0b00010000;0xFF;0b00010000;2;2;0x00;0;0;0x00;0x020025F0;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001111;0b00000000;0x00;2
1652;0x00;Chandra's Phoenix;11789;0b00000010;0xFF;0b00010000;2;1;0x02;2;2;0x00;0x0200BB46;0b00100000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b11111111;0b00000001;0b00000000;0x00;1
1653;0x00;Chandra's Spitfire;11105;0b00000010;0xFF;0b00010000;1;2;0x00;1;3;0x00;0x020025F5;0b00100000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;1
1654;0x00;Change of Heart;3348;0b00010000;0xFF;0b00100000;1;0;0x00;0;0;0x00;0x020035AE;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;2
1655;0x00;Changeling Berserker;9096;0b00000010;0xFF;0b00010000;1;3;0x00;5;3;0x00;0x020078AC;0b00000000;0b00000000;0b00001000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001001;0b00000000;0x00;0
1656;0x00;Changeling Hero;9097;0b00000010;0xFF;0b00100000;1;4;0x00;4;4;0x00;0x020078B1;0b00000000;0b00000000;0b00001000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1657;0x00;Channel;30;0b00001000;0xFF;0b00001000;2;0;0x00;0;0;0x00;0x0200BF0B;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b11110001;0b00000000;0x00;2
1658;0x00;Channel the Suns;1504;0b00001000;0xFF;0b00001000;1;3;0x00;0;0;0x00;0x0200CBB3;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b00001001;0b00000000;0x00;2
1659;0x00;Chant of the Skifsang;12149;0b00000100;0xFF;0b00000100;1;2;0x00;0;0;0x00;0x02004D19;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
1660;0x00;Chant of Vitu-Ghazi;7791;0b00010000;0xFF;0b00100000;2;6;0x01;0;0;0x01;0x0200667D;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000100;0b00000000;0x00;0
1661;0x00;Chaos Harlequin;2268;0b00000010;0xFF;0b00010000;2;2;0x00;2;4;0x00;0x0200B934;0b00000000;0b00000000;0b00000000;0b00000000;0b00001001;0b00000000;0b00000000;0b00000000;0b00000000;0b01001000;0b00000000;0x00;0
1662;0x00;Chaos Imps;12678;0b00000010;0xFF;0b00010000;2;4;0x00;6;5;0x00;0x02007613;0b00100000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1663;0x00;Chaos Orb;1748;0b01000000;0xFF;0b00000001;0;2;0x00;0;0;0x00;0x02005584;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00010001;0b00000000;0x00;0
1664;0x00;Chaos Warp;11739;0b00010000;0xFF;0b00010000;1;2;0x00;0;0;0x00;0x02004B20;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;2
1665;0x00;Chaoslace;32;0b00100000;0xFF;0b00010000;1;0;0x00;0;0;0x00;0x0200BF10;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00100000;0b00000000;0b00000000;0b00000000;0b00001111;0b00000000;0x00;-2
1666;0x00;Chaosphere;2428;0b00000100;0x10;0b00010000;1;2;0x00;0;0;0x00;0x02009DD7;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1667;0x00;Chapel Geist;11901;0b00000010;0xFF;0b00100000;2;1;0x00;2;3;0x00;0x401000;0b00100000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;1
1668;0x00;Char;1253;0b00010000;0xFF;0b00010000;1;2;0x00;0;0;0x00;0x0200C0C8;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001111;0b00000000;0x00;0
1669;0x00;Char-Rumbler;8902;0b00000010;0xFF;0b00010000;2;2;0x00;-1;3;0x00;0x0200594E;0b00000000;0b00000000;0b00000000;0b01000000;0b00001001;0b00000000;0b00000000;0b00000000;0b00000000;0b01001000;0b00000000;0x00;3
1670;0x00;Charcoal Diamond;2429;0b01000000;0xFF;0b00000010;0;2;0x00;0;0;0x00;0x02003171;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b11111000;0b00000000;0x00;2
1671;0x00;Charge Across the Araba;7613;0b00010000;0xFF;0b00100000;1;4;0x00;0;0;0x00;0x0200634E;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000100;0b00000000;0x00;0
1672;0x00;Charging Badger;13676;0b00000010;0xFF;0b00001000;1;0;0x00;1;1;0x00;0x401000;0b10000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1673;0x00;Charging Griffin;13273;0b00000010;0xFF;0b00100000;1;3;0x00;2;2;0x00;0x02003FF9;0b00100000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1674;0x00;Charging Rhino;3099;0b00000010;0xFF;0b00001000;2;3;0x00;4;4;0x00;0x0200C66D;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1675;0x00;Charging Troll;1744;0b00000010;0xFF;0b00101000;2;2;0x00;3;3;0x00;0x0200BAF1;0b00000000;0b00000010;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b11111000;0b00000000;0x00;1
1676;0x00;Chariot of the Sun;2430;0b01000000;0xFF;0b00000001;0;3;0x00;0;0;0x00;0x02009DDC;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00110001;0b00000000;0x00;0
1677;0x00;Chariot of Victory;13855;0b01000000;0xFF;0b00000001;0;3;0x00;0;0;0x00;0x0200BE02;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b10010001;0b00000000;0x00;0
1678;0x00;Charisma;4422;0b00000100;0xFF;0b00000100;3;0;0x00;0;0;0x00;0x02004CC4;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1679;0x00;Charmbreaker Devils;11902;0b00000010;0xFF;0b00010000;1;5;0x00;4;4;0x00;0x02003EE6;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;1
1680;0x00;Charmed Pendant;5516;0b01000000;0xFF;0b00111110;0;4;0x00;0;0;0x00;0x02008C9D;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00010000;0b00000000;0b00000000;0b00000000;0b11111000;0b00000000;0x00;0
1681;0x00;Charnelhoard Wurm;10121;0b00000010;0xFF;0b00011010;3;4;0x00;6;6;0x00;0x020082C0;0b10000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1682;0x00;Chartooth Cougar;6491;0b00000010;0xFF;0b00010000;1;5;0x04;4;4;0x00;0x020094B8;0b00000000;0b00000000;0b00000000;0b00000000;0b00001001;0b00000000;0b00000000;0b00000000;0b00000000;0b01001000;0b00000000;0x00;0
1683;0x00;Chasm Drake;11791;0b00000010;0xFF;0b00000100;1;4;0x00;3;3;0x00;0x0200402B;0b00100000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1684;0x00;Chasm Skulker;14083;0b00000010;0xFF;0b00000100;1;2;0x00;1;1;0x00;0x0200C8B6;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1685;0x00;Chastise;991;0b00010000;0xFF;0b00100000;1;3;0x00;0;0;0x00;0x02005714;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001111;0b00000000;0x00;2
1686;0x00;Chatter of the Squirrel;5517;0b00001000;0xFF;0b00001000;1;0;0x09;0;0;0x00;0x02008CA2;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001001;0b00000000;0x00;0
1687;0x00;Chemister's Trick;12679;0b00010000;0xFF;0b00010100;2;0;0x01;0;0;0x01;0x020076F9;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
1688;0x00;Chief Engineer;14084;0b00000010;0xFF;0b00000100;1;1;0x00;1;3;0x00;0x0200CA00;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b11111000;0b00000000;0x00;0
1689;0x00;Chief of the Edge;14241;0b00000010;0xFF;0b00100010;2;0;0x00;3;2;0x00;0x0200D13A;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
1690;0x00;Chief of the Scale;14242;0b00000010;0xFF;0b00100010;2;0;0x00;2;3;0x00;0x0200D13F;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
1691;0x00;Chieftain en-Dal;4675;0b00000010;0xFF;0b00100000;2;1;0x00;2;2;0x00;0x020086B2;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1692;0x00;Child of Alara;10122;0b00000010;0x0E;0b00111110;5;0;0x00;6;6;0x00;0x0200133A;0b10000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;2
1693;0x00;Child of Gaea;3721;0b00000010;0xFF;0b00001000;3;3;0x00;7;7;0x00;0x02003874;0b10000000;0b00000010;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;2
1694;0x00;Child of Night;10398;0b00000010;0xFF;0b00000010;1;1;0x00;2;1;0x00;0x0200415C;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;1
1695;0x00;Child of Thorns;7450;0b00000010;0xFF;0b00001000;1;0;0x00;1;1;0x00;0x020061A5;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b01000001;0b00000000;0x00;0
1696;0x00;Childhood Horror;5518;0b00000010;0xFF;0b00000010;1;3;0x00;2;2;0x00;0x02008CA7;0b00100000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1697;0x00;Children of Korlis;8500;0b00000010;0xFF;0b00100000;1;0;0x0D;1;1;0x00;0x02006EF2;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b10001000;0b00000000;0x00;0
1698;0x00;Chill of Foreboding;12150;0b00001000;0xFF;0b00000100;1;2;0x09;0;0;0x00;0x02004E4F;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1699;0x00;Chimeric Coils;7026;0b01000000;0xFF;0b00000001;0;1;0x00;0;0;0x00;0x020058EA;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00110001;0b00000000;0x00;0
1700;0x00;Chimeric Egg;6864;0b01000000;0xFF;0b00000001;0;3;0x00;0;0;0x00;0x020055F7;0b00000000;0b00000000;0b00000000;0b00000000;0b00100001;0b00000000;0b00000000;0b00000000;0b00000000;0b00111000;0b00000000;0x00;0
1701;0x00;Chimeric Idol;4809;0b01000000;0xFF;0b00000001;0;3;0x00;0;0;0x00;0x020087CF;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b10000000;0b00000000;0b00000000;0b00000000;0b00111000;0b00000000;0x00;0
1702;0x00;Chimeric Mass;11222;0b01000000;0xFF;0b00000001;0;0;0x01;0;0;0x01;0x020041E3;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00001001;0b00000000;0x00;2
1703;0x00;Chimeric Sphere;2951;0b01000000;0xFF;0b00000001;0;3;0x00;0;0;0x00;0x0200339C;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b10000000;0b00000000;0b00000000;0b00000000;0b00111000;0b00000000;0x00;1
1704;0x00;Chimeric Staff;3722;0b01000000;0xFF;0b00000001;0;4;0x00;0;0;0x00;0x02003879;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b10000000;0b00000000;0b00000000;0b00000000;0b00111000;0b00000000;0x00;1
1705;0x00;Chisei, Heart of Oceans;7451;0b00000010;0x0E;0b00000100;2;2;0x00;4;4;0x00;0x020061AA;0b00100000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1706;0x00;Chittering Rats;6865;0b00000010;0xFF;0b00000010;2;1;0x00;2;2;0x00;0x020055E8;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1707;0x00;Chlorophant;5519;0b00000010;0xFF;0b00001000;3;0;0x00;1;1;0x00;0x02008CAC;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1708;0x00;Cho-Arrim Alchemist;4425;0b00000010;0xFF;0b00100000;1;0;0x00;1;1;0x00;0x02004CC9;0b00000000;0b00000000;0b00000000;0b00000000;0b00000101;0b00000000;0b00000000;0b00000000;0b00000000;0b11111000;0b00000000;0x00;0
1709;0x00;Cho-Arrim Bruiser;4426;0b00000010;0xFF;0b00100000;1;5;0x00;3;4;0x00;0x02004CCE;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1710;0x00;Cho-Manno, Revolutionary;4429;0b00000010;0x0E;0b00100000;2;2;0x00;2;2;0x00;0x02004CD3;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1711;0x00;Choice of Damnations;7614;0b00001000;0xFF;0b00000010;1;5;0x00;0;0;0x00;0x02006353;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1712;0x00;Choke;992;0b00000100;0xFF;0b00001000;1;2;0x00;0;0;0x00;0x0200CBB8;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
1713;0x00;Choking Fumes;11427;0b00010000;0xFF;0b00100000;1;2;0x00;0;0;0x00;0x020044A9;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000100;0b00000000;0x00;1
1714;0x00;Choking Sands;2431;0b00001000;0xFF;0b00000010;2;1;0x00;0;0;0x00;0x02009DE1;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001001;0b00000000;0x00;0
1715;0x00;Choking Tethers;6088;0b00010000;0xFF;0b00000100;1;3;0x04;0;0;0x00;0x02009189;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b10000011;0b00000000;0x00;0
1716;0x00;Chord of Calling;7792;0b00010000;0xFF;0b00001000;3;255;0x01;0;0;0x01;0x02002BE0;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000011;0b00000000;0x00;2
1717;0x00;Chorus of Might;12680;0b00010000;0xFF;0b00001000;1;3;0x00;0;0;0x00;0x02007677;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000100;0b00000000;0x00;0
1718;0x00;Chorus of the Conclave;7793;0b00000010;0x0E;0b00101000;4;4;0x00;3;8;0x00;0x02006682;0b00000100;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1719;0x00;Chorus of the Tides;13677;0b00000010;0xFF;0b00000100;1;3;0x00;3;2;0x00;0x0200B8C6;0b00100000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001000;0b00000000;0x00;0
1720;0x00;Chosen by Heliod;13407;0b00000100;0xFF;0b00100000;1;1;0x00;0;0;0x00;0x0200ADAE;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0x00;0
1721;0x00;Chosen of Markov;12151;0b00000010;0xFF;0b00000010;1;2;0x00;2;2;0x00;0x02004E90;0b00000000;0b00000000;0b00000000;0b00000000;0b00011001;0b00000000;0b00000000;0b00000000;0b00000000;0b01001000;0b00000000;0x00;0
1722;0x00;Chromanticore;13678;0b00000110;0xFF;0b00111110;5;0;0x00;4;4;0x01;0x0200B736;0b10100000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001001;0b00000000;0x00;0
1723;0x00;Chromanticore Bestowed;13679;0b00000100;0xFF;0b00111110;5;0;0x00;0;0;0x00;0x0200B736;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00001001;0b00000000;0x00;0
1724;0x00;Chromatic Armor;1889;0b00000100;0xFF;0b00100100;2;1;0x00;0;0;0x00;0x02002DA2;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00000000;0b00000000;0b00000000;0b00000000;0b11110001;0b00000000;0x00;1
1725;0x00;Chromatic Lantern;12681;0b01000000;0xFF;0b00111110;0;3;0x00;0;0;0x00;0x02007852;0b00000000;0b00000000;0b00000000;0b00000000;0b00000010;0b00010000;0b00000000;0b00000000;0b00000000;0b11110001;0b00000000;0x00;0
1726;0x00;Chromatic Sphere;4962;0b01000000;0xFF;0b00111110;0;1;0x00;0;0;0x00;0x0200111E;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00010000;0b00000001;0b00000000;0b00000000;0b11110001;0b00000000;0x00;0
1727;0x00;Chromatic Star;8501;0b01000000;0xFF;0b00111110;0;1;0x00;0;0;0x00;0x02001123;0b00000000;0b00000000;0b00000000;0b00000000;0b00000001;0b00010000;0b00000001;0b00000000;0b00000000;0b11110001;0b00000000;0x00;0
1728;0x00;Chrome Mox;6632;0b01000000;0xFF;0b00000000;0;0;0x01;0;0;0x01;0x02001204;0b00000000;0b00000000;0b00000000;0b00000000;0b00000000;0b00010000;0b00000000;0b00000000;0b00000000;0b11110001;0b00000000;0x00;3
