Town#;TownType;TownName;MapX;MapY;CityCardClr;CityCardType;Status;Wizard?;Card# 1;Card# 2;Card# 3;Card# 4;Card# 5;Card# 6;Card# 7;Card# 8;Timer1;Timer2;Timer3;Timer4;Timer5;Timer6;Timer7;Timer8;QuestTimer;TradeTimer;NumVisits;TimeLastVisit
99;2;Shalecliff Forge;43;12;0b00000000;2;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
100;1;Shalecliff Village;33;39;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
101;1;Shalecliff Village;57;27;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
102;1;Shalecliff Village;39;26;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
103;1;Shalecliff Village;30;26;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
104;1;Unicorn's Village;42;15;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
105;1;Unicorn's Village;24;35;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
106;1;Unicorn's Village;30;36;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
107;2;Unicorn's Oasis;7;12;0b00010000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
108;1;Unicorn's Village;52;41;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
109;1;Unicorn's Village;38;56;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
110;1;Unicorn's Village;46;27;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
111;1;Unicorn's Village;49;32;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
112;1;Windlass Village;43;56;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
113;1;Windlass Village;18;25;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
114;1;Windlass Village;15;40;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
115;1;Windlass Village;36;58;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
116;3;Windlass Tavern;46;17;0b00000000;3;0b00000010;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
117;2;Windlass Steading;13;24;0b00100000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
118;1;Windlass Village;30;42;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
119;2;Windlass Mill;36;27;0b00000000;4;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
120;1;Zephyr Village;38;53;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
121;1;Zephyr Village;42;41;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
122;1;Zephyr Village;34;54;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
123;1;Zephyr Village;22;20;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
124;1;Zephyr Village;26;55;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
125;1;Zephyr Village;36;46;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
126;1;Zephyr Village;44;32;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
127;1;Zephyr Village;24;41;0b00000000;0;0b00000000;0x00;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1 NONE;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1;-1
